case_id,case_type,schema,turns,tokens,fields_count,doctor_specialists,doctor_service,doctor_examination,specialist_score,service_score,examination_score,data_sufficiency,accuracy,dialogue_quality,routing_match
7,periodontitis,S2,8,35867,6,пародонтолог; стоматолог-терапевт; гнатолог,комплексное лечение пародонтита с стабилизацией подвижных зубов,"ОПТГ, панорамный снимок, пародонтальное зондирование, анализ гликемии",9,9,7,8,8,6,True
7,periodontitis,S3,5,17344,7,пародонтолог; стоматолог-терапевт; гнатолог,комплексное лечение пародонтита с оценкой окклюзии и сопутствующей терапией,"ОПТГ, панорамный снимок, зондирование пародонтальных карманов, анализ гликемии, измерение артериального давления",10,10,8,8,10,8,True
8,tmj_dysfunction,S1,6,25707,4,гнатолог; ортодонт; пародонтолог,диагностика и лечение дисфункции височно-нижнечелюстного сустава,"ОПТГ, КЛКТ височно-нижнечелюстных суставов, ЭОД при необходимости, оценка окклюзии",9,8,8,7,8,6,True
8,tmj_dysfunction,S2,6,22608,7,стоматолог-терапевт; гнатолог; ортодонт,диагностика и лечение дисфункции височно-нижнечелюстного сустава,"ОПТГ, КЛКТ суставов, ЭОД, функциональная диагностика прикуса",8,8,7,7,8,8,True
8,tmj_dysfunction,S3,6,24384,11,гнатолог; ортодонт; пародонтолог,"диагностика и лечение дисфункции височно-нижнечелюстного сустава, коррекция бруксизма","ОПТГ, КЛКТ суставов, ЭОД, оценка окклюзии, анализ артикуляции",9,9,7,8,8,9,True
9,missing_teeth_prosthetics,S1,5,18191,4,стоматолог-ортопед; хирург-имплантолог; пародонтолог,"восстановление жевательной функции с заменой съемного протеза на несъемную конструкцию, возможная имплантация","КЛКТ, ОПТГ, анализ крови (оценка состояния костной ткани)",8,9,9,8,9,9,True
9,missing_teeth_prosthetics,S2,5,17404,7,стоматолог-ортопед; хирург-имплантолог; пародонтолог,восстановление жевательной функции с учетом противопоказаний к имплантации и аллергии на анестетики,"КЛКТ, ОПТГ, анализ крови (оценка состояния костной ткани), проба на анестетик (без новокаина)",9,8,8,8,9,9,True
9,missing_teeth_prosthetics,S3,4,11345,4,стоматолог-ортопед; хирург-имплантолог; пародонтолог,"восстановление жевательной функции при частичном отсутствии зубов, оценка состояния костной ткани и пародонта","ОПТГ, КЛКТ, пародонтологическое обследование",8,9,7,9,9,8,True
10,adversarial_complex,S1,5,16937,4,стоматолог-терапевт,Лечение кариеса с возможным эндодонтическим вмешательством,"Рентген, ЭОД",4,8,4,6,3,7,False
10,adversarial_complex,S2,7,30382,8,стоматолог-терапевт; эндодонтист,Лечение глубокого кариеса или пульпита,"Рентген, ЭОД",5,4,6,5,4,6,False
10,adversarial_complex,S3,8,31863,12,стоматолог-терапевт,лечение кариеса с восстановлением коронки зуба,"рентген (прицельный снимок), визуальный осмотр, зондирование, перкуссия",8,8,7,7,5,4,True
