id,text,label_intent,label_scenario,source
39,"чувствительность, что делать?",complaint_primary,anamnesis_flow,synthetic
79,Сколько стоит лечение кариеса?,price_question,faq_flow,synthetic
92,Нужно изменить время записи,reschedule_cancel,reschedule_flow,synthetic
116,Здравствуйте,other,faq_flow,synthetic
64,Стоимость брекетов?,price_question,faq_flow,synthetic
74,Сколько стоит консультация?,price_question,faq_flow,synthetic
30,Зуб шатается,complaint_primary,anamnesis_flow,synthetic
14,"Запишите меня, пожалуйста, на следующую неделю",booking,booking_flow,synthetic
37,Появилась шишка на десне,complaint_primary,anamnesis_flow,synthetic
8,Хочу прийти на осмотр,booking,booking_flow,synthetic
43,а можно без удаления?,followup_question,faq_flow,synthetic
65,Почём коронка из циркония?,price_question,faq_flow,synthetic
106,Какие врачи у вас работают?,other,faq_flow,synthetic
31,"кровоточивость, что делать?",complaint_primary,anamnesis_flow,synthetic
20,Хочу прийти на осмотр,booking,booking_flow,synthetic
77,Сколько стоит консультация?,price_question,faq_flow,synthetic
26,"боль при жевании, что делать?",complaint_primary,anamnesis_flow,synthetic
32,Беспокоит боль при жевании,complaint_primary,anamnesis_flow,synthetic
98,Отмена записи на 15 число,reschedule_cancel,reschedule_flow,synthetic
6,запись на отбеливание возможна?,booking,booking_flow,synthetic
9,Хочу прийти на чистку,booking,booking_flow,synthetic
29,Болит десна уже давно,complaint_primary,anamnesis_flow,synthetic
45,а анестезия входит в стоимость?,followup_question,faq_flow,synthetic
91,"Не получается в это время, можно позже?",reschedule_cancel,reschedule_flow,synthetic
70,Какая цена на детский приём?,price_question,faq_flow,synthetic
3,"мне нужно к хирургу, как записаться?",booking,booking_flow,synthetic
61,Почём коронка из циркония?,price_question,faq_flow,synthetic
97,"Не смогу прийти, перенесите пожалуйста",reschedule_cancel,reschedule_flow,synthetic
33,Зуб реагирует на холодное,complaint_primary,anamnesis_flow,synthetic
54,что лучше выбрать?,followup_question,faq_flow,synthetic
36,Неприятный запах изо рта,complaint_primary,anamnesis_flow,synthetic
89,Нужно изменить время записи!,reschedule_cancel,reschedule_flow,synthetic
115,Принимаете ли детей?,other,faq_flow,synthetic
88,Можно перезаписаться на утро?,reschedule_cancel,reschedule_flow,synthetic
59,что лучше выбрать?,followup_question,faq_flow,synthetic
28,Беспокоит боль при жевании,complaint_primary,anamnesis_flow,synthetic
42,Можно ли есть после процедуры?,followup_question,faq_flow,synthetic
49,а это больно?,followup_question,faq_flow,synthetic
34,неприятный запах изо рта,complaint_primary,anamnesis_flow,synthetic
7,Мне нужно к терапевту,booking,booking_flow,synthetic
24,Кровоточат дёсны при чистке,complaint_primary,anamnesis_flow,synthetic
107,"Ок, подумаю",other,faq_flow,synthetic
18,Хотела бы записаться к детскому стоматологу,booking,booking_flow,synthetic
55,Какие есть альтернативы?,followup_question,faq_flow,synthetic
83,"Не получается в это время, можно позже?",reschedule_cancel,reschedule_flow,synthetic
11,запись на отбеливание возможна?,booking,booking_flow,synthetic
112,до скольки работаете?,other,faq_flow,synthetic
85,отмените мою запись,reschedule_cancel,reschedule_flow,synthetic
73,почём коронка из циркония?,price_question,faq_flow,synthetic
76,Во сколько обойдётся снимок!,price_question,faq_flow,synthetic
51,нужно ли готовиться к процедуре?,followup_question,faq_flow,synthetic
117,Здравствуйте,other,faq_flow,synthetic
69,какие цены на виниры?,price_question,faq_flow,synthetic
80,Есть ли рассрочка на лечение?,price_question,faq_flow,synthetic
17,Мне нужно к пародонтологу,booking,booking_flow,synthetic
60,Можно ли есть после процедуры?,followup_question,faq_flow,synthetic
108,У вас есть рентген?,other,faq_flow,synthetic
22,Зуб потемнел,complaint_primary,anamnesis_flow,synthetic
93,"Не смогу прийти, перенесите пожалуйста",reschedule_cancel,reschedule_flow,synthetic
52,Что лучше выбрать?,followup_question,faq_flow,synthetic
103,"Спасибо, до свидания.",other,faq_flow,synthetic
87,отмена записи на 15 число.,reschedule_cancel,reschedule_flow,synthetic
86,Перенесите на другой день,reschedule_cancel,reschedule_flow,synthetic
44,А можно без удаления.,followup_question,faq_flow,synthetic
50,можно ли есть после процедуры?,followup_question,faq_flow,synthetic
4,Хочу записаться на приём к стоматологу,booking,booking_flow,synthetic
63,Какая цена на отбеливание?,price_question,faq_flow,synthetic
56,Это точно поможет?,followup_question,faq_flow,synthetic
35,Кровоточат дёсны при чистке,complaint_primary,anamnesis_flow,synthetic
