id,text,label_l1,label_l2,scenario,source,complexity
114,"Подскажите, солгасен",conversational,confirmation,conversation_flow,augmented,complex
115,Запись к гигиенисту на субботу,booking,new_appointment,booking_flow,variation,simple
116,"Подскажите, сколько времени занимает!!",faq,procedure,faq_flow,augmented,complex
117,Нужно профгигиену 😊,anamnesis,services,anamnesis_flow,augmented,simple
118,Сколько нельзя есть после профгигиену?,faq,visit_prep,faq_flow,variation,simple
119,болит коренной зуб уже две недели 🦷,anamnesis,symptom,anamnesis_flow,augmented,medium
120,профгигиену этоб ольно?,faq,procedure,faq_flow,augmented,simple
121,А обязательно заранее спасибо,faq,followup,faq_flow,augmented,simple
122,"Добрый день, как делают?",faq,procedure,faq_flow,augmented,complex
123,Большое спасибо 😊,conversational,gratitude,conversation_flow,augmented,simple
124,Неприятный запах изо рта,anamnesis,symptom,anamnesis_flow,template,simple
125,Почём профгигиену пожалуйста,faq,price,faq_flow,augmented,simple
126,осмотр это больно!!,faq,procedure,faq_flow,augmented,simple
127,Что нельзя после чистку 👍,faq,visit_prep,faq_flow,augmented,simple
128,"Добрый день, здрасте заранее спасибо",conversational,greeting,conversation_flow,augmented,complex
129,Прощайте 😊,conversational,farewell,conversation_flow,augmented,simple
130,Удачи!!,conversational,farewell,conversation_flow,augmented,simple
131,Здрасет?,conversational,greeting,conversation_flow,augmented,simple
132,Что нельзя после элайнеры спасибо,faq,visit_prep,faq_flow,augmented,simple
133,Почём лечение кариеса?,faq,price,faq_flow,variation,simple
134,Осложнения после лечения заранее спасибо,negative_feedback,quality,escalation_flow,augmented,simple
135,"Подскажите, до свидания?",conversational,farewell,conversation_flow,augmented,complex
136,"Привет, какая цена на чистку?",faq,price,faq_flow,augmented,complex
137,Позовите главврача,negative_feedback,general,escalation_flow,template,simple
138,Почём виниры.,faq,price,faq_flow,augmented,simple
139,У меня слетела коронка заранее спасибо,anamnesis,complaint,anamnesis_flow,augmented,medium
140,Какие ещё варианты заранее спасибо,faq,followup,faq_flow,augmented,simple
141,Зуб тренсул,anamnesis,complaint,anamnesis_flow,augmented,simple
142,Персонал хамит,negative_feedback,staff,escalation_flow,template,simple
143,Врач морозовой не объяснил 🙏,negative_feedback,staff,escalation_flow,augmented,simple
144,После осмотр у Лебедевой стало хуже пожалуйста,negative_feedback,quality,escalation_flow,augmented,medium
145,Можно без этого 🦷,faq,followup,faq_flow,augmented,simple
146,Запись к хирургу на на этйо неделе,booking,new_appointment,booking_flow,augmented,medium
147,Часы работы?,faq,clinic_info,faq_flow,template,simple
148,Хочу чистку,anamnesis,services,anamnesis_flow,variation,simple
149,Запись к терапевту на четверг,booking,new_appointment,booking_flow,variation,simple
150,ОКЕЙ.,conversational,confirmation,conversation_flow,augmented,simple
151,Приложение глючит 😢,negative_feedback,service_issue,escalation_flow,augmented,simple
152,Работаете в утро 👍,faq,clinic_info,faq_flow,augmented,simple
153,Интересуют виниры,anamnesis,services,anamnesis_flow,template,simple
154,Мне не перезвонили заранее спасибо,negative_feedback,service_issue,escalation_flow,augmented,simple
155,"НЕ СМОГУ ПРИЙТИ, ЗАНЯТ НА РАБОТЕ!!",booking,cancel,booking_flow,augmented,complex
156,Невежливоео бслуживание,negative_feedback,staff,escalation_flow,augmented,simple
157,Как подготовиться к пломбировнаие пожалуйста,faq,visit_prep,faq_flow,augmented,simple
158,"Здравствуйте, запись к гигиенисту на пятницу",booking,new_appointment,booking_flow,augmented,complex
159,"Подскажите, доброе утро 🦷",conversational,greeting,conversation_flow,augmented,complex
160,Алло заранее спасибо,conversational,greeting,conversation_flow,augmented,simple
161,СПАСИБО БЛОЬШОЕ!,conversational,gratitude,conversation_flow,augmented,simple
162,Зуби зменил цвет?,anamnesis,complaint,anamnesis_flow,augmented,simple
163,передний зуб сильно болит 🦷,anamnesis,symptom,anamnesis_flow,augmented,simple
164,Работаете в послезавтра,faq,clinic_info,faq_flow,augmented,simple
165,Хочу имплантацию,anamnesis,services,anamnesis_flow,variation,simple
166,Разочарован спасибо,negative_feedback,general,escalation_flow,augmented,simple
167,что вы рекомендуете спасибо,faq,followup,faq_flow,augmented,simple
168,Алло 😢,conversational,greeting,conversation_flow,augmented,simple
169,"Подскажите, нужна имплантация",anamnesis,services,anamnesis_flow,augmented,complex
170,перенесите на поендельник,booking,reschedule,booking_flow,augmented,simple
171,Можно перенести на усбботу?,booking,reschedule,booking_flow,augmented,simple
172,Мне не перезвонили с утра 🙏,negative_feedback,service_issue,escalation_flow,augmented,medium
173,Пока,conversational,farewell,conversation_flow,template,simple
174,"Подскажите, верхний зуб болит сильно",anamnesis,symptom,anamnesis_flow,augmented,complex
175,снимок сколько стоит?,faq,price,faq_flow,variation,simple
176,Морозовой был груб,negative_feedback,staff,escalation_flow,variation,simple
177,Это безобразие.,negative_feedback,general,escalation_flow,augmented,simple
178,консультацию сколько стоит?,faq,price,faq_flow,variation,simple
179,Всегод оброго 😢,conversational,farewell,conversation_flow,augmented,simple
180,СКОЛЬКО НЕЛЬЗЯ ПИТЬ АЛКОГОЛЬ ПОСЛЕ ВИНИРЫ?!,faq,visit_prep,faq_flow,augmented,medium
181,У меня выпала полмба,anamnesis,complaint,anamnesis_flow,augmented,simple
182,"Отмените запиьс, не смогу",booking,cancel,booking_flow,augmented,complex
183,Нужно перенсети 👍,booking,reschedule,booking_flow,augmented,simple
184,согласен заранее спасибо,conversational,confirmation,conversation_flow,augmented,simple
185,Хочу отказаться от записи 😢 пожалуйста,booking,cancel,booking_flow,augmented,medium
186,После консульТацию у Петровой стало хуже пожалуйста,negative_feedback,quality,escalation_flow,augmented,medium
187,Благодарю вас пожалуйста?!,conversational,gratitude,conversation_flow,augmented,simple
188,"привет, мне не перезвонили месяц",negative_feedback,service_issue,escalation_flow,augmented,complex
189,"Здравствуйте, случилось слетела коронка",anamnesis,complaint,anamnesis_flow,augmented,complex
190,Сколько нельзя есть после протезирование,faq,visit_prep,faq_flow,augmented,simple
191,Дорбый вечер?,conversational,greeting,conversation_flow,augmented,simple
192,"Привет, посел профгигиену у Козловой стало хуже",negative_feedback,quality,escalation_flow,augmented,complex
193,Наеврное,conversational,unclear,clarification_flow,augmented,simple
194,У меня слетела коронка 😊,anamnesis,complaint,anamnesis_flow,augmented,simple
195,НАДО ПОСОВЕТОВАТЬСЯ?,conversational,unclear,clarification_flow,augmented,simple
196,Сколько нельзя пить алкоголь после брекеты?,faq,visit_prep,faq_flow,variation,medium
197,"Добрый день, случилось откололся зуб",anamnesis,complaint,anamnesis_flow,augmented,complex
198,Сколько нельзя пить после отбеливание 🦷,faq,visit_prep,faq_flow,augmented,medium
199,Есьт WhatsApp 😊,faq,clinic_info,faq_flow,augmented,simple
200,Благодарю вас!!,conversational,gratitude,conversation_flow,augmented,simple
201,на когда можно записаться заранее спасибо,booking,new_appointment,booking_flow,augmented,medium
202,Нужно приходить повторно?,faq,visit_prep,faq_flow,template,simple
203,Откололся кусочек зуба,anamnesis,complaint,anamnesis_flow,template,simple
204,"Добрый день, я вам перезвоню пожалуйста",conversational,unclear,clarification_flow,augmented,complex
205,КАКАЯ ЦЕНА НА ПРОТЕЗИРОВАНИЕ заранее спасибо,faq,price,faq_flow,augmented,medium
206,"Добрый день, зубы стали подвижными спасибо",anamnesis,complaint,anamnesis_flow,augmented,complex
207,"Подскажите, сказали чт озаписи нет",negative_feedback,service_issue,escalation_flow,augmented,complex
208,Сколько нельзя есть после снимок?,faq,visit_prep,faq_flow,variation,simple
209,"Привет, хорошо!",conversational,confirmation,conversation_flow,augmented,complex
210,"Скажите, возможно.",conversational,unclear,clarification_flow,augmented,complex
211,СКАЗАЛИ ЧТО ЗАПИСИ НЕТ!,negative_feedback,service_issue,escalation_flow,augmented,simple
212,После виниры у Морозовой стало хуже,negative_feedback,quality,escalation_flow,variation,medium
213,Болит зуб мудрости уже давно,anamnesis,symptom,anamnesis_flow,variation,simple
214,Точно нужно 😊,faq,followup,faq_flow,augmented,simple
215,Можно без этого 😢,faq,followup,faq_flow,augmented,simple
216,"ЗАБОЛЕЛ, НЕ ПРИДУ 😢",booking,cancel,booking_flow,augmented,complex
217,Какие материалы используете 😊,faq,procedure,faq_flow,augmented,simple
218,Сколько длится снимок,faq,procedure,faq_flow,augmented,simple
219,Планирую лечение кариеса 👍,anamnesis,services,anamnesis_flow,augmented,simple
220,Надоп одумать,conversational,unclear,clarification_flow,augmented,simple
221,Отнеслись наплевательски 👍,negative_feedback,staff,escalation_flow,augmented,simple
222,У меня кровоточивость три дня,anamnesis,symptom,anamnesis_flow,variation,simple
223,Есть вермя на четверг?,booking,new_appointment,booking_flow,augmented,simple
224,Перенесите на среду спасибо,booking,reschedule,booking_flow,augmented,simple
225,Сколько нельзя заниматься спортом после протезирование?,faq,visit_prep,faq_flow,variation,medium
226,ЕСТЬ ВРЕМЯ НА ВТОРНИК,booking,new_appointment,booking_flow,augmented,simple
227,Какая цена на чистку,faq,price,faq_flow,augmented,simple
228,У меня ноющая боль несколько дней,anamnesis,symptom,anamnesis_flow,variation,medium
229,"Привет, врач Волкова не объяснил?",negative_feedback,staff,escalation_flow,augmented,complex
230,"Скажите, привет, плохая клиника",negative_feedback,general,escalation_flow,augmented,complex
231,"Поясните, пожалуйста 🦷 заранее спасибо",faq,followup,faq_flow,augmented,complex
232,"Привет, привет, подумаю",conversational,unclear,clarification_flow,augmented,complex
233,я вам перезвоню 🦷,conversational,unclear,clarification_flow,augmented,simple
234,"Скажите, до свидания",conversational,farewell,conversation_flow,augmented,complex
235,Запись к пародонтологу на четверг,booking,new_appointment,booking_flow,variation,simple
236,Спасибо боьлшое,conversational,gratitude,conversation_flow,augmented,simple
237,Посоветуюсь 👍,conversational,unclear,clarification_flow,augmented,simple
238,"Скажите, прикусил язык",anamnesis,complaint,anamnesis_flow,augmented,complex
239,Прощайте?,conversational,farewell,conversation_flow,augmented,simple
240,Почём реставрацию спасибо,faq,price,faq_flow,augmented,simple
241,Добырй день,conversational,greeting,conversation_flow,augmented,simple
242,Треснулз уб,anamnesis,complaint,anamnesis_flow,augmented,simple
243,После лечение каналов у Кузнецовой стало хуже,negative_feedback,quality,escalation_flow,variation,medium
244,Хорошо 🙏 заранее спасибо,conversational,confirmation,conversation_flow,augmented,simple
245,"Добрый день, пока",conversational,farewell,conversation_flow,augmented,complex
246,Запись к ортопеду на четверг,booking,new_appointment,booking_flow,variation,simple
247,После лечение каналов у Морозовой стало хуже,negative_feedback,quality,escalation_flow,variation,medium
248,"Добрый день, ждал неделю",negative_feedback,service_issue,escalation_flow,augmented,complex
249,НЕ ПОЛУЧАЕТСЯ В ЭТО ВРЕМЯ ПОЖАЛУЙСТА,booking,reschedule,booking_flow,augmented,medium
250,Перезпаишите на утро,booking,reschedule,booking_flow,augmented,simple
251,Не смогу в назначенноев ремя,booking,reschedule,booking_flow,augmented,simple
252,НЕ СОВСЕМ ПОНЯЛ...,faq,followup,faq_flow,augmented,simple
253,Что нельзя после брекеты 😢,faq,visit_prep,faq_flow,augmented,simple
254,Какая цена на брекеты,faq,price,faq_flow,augmented,simple
255,Запись к пародонтологу на пятницу 🦷,booking,new_appointment,booking_flow,augmented,medium
256,Эй 👍 пожалуйста,conversational,greeting,conversation_flow,augmented,simple
257,"Здравствуйте, сколько нельзя пить алкоголь после протезирование?",faq,visit_prep,faq_flow,augmented,complex
258,Ладно 🙏,conversational,confirmation,conversation_flow,augmented,simple
259,Какой адрес?,faq,clinic_info,faq_flow,template,simple
260,Здорово?,conversational,greeting,conversation_flow,augmented,simple
261,После КТ у Сидорова стало хуже,negative_feedback,quality,escalation_flow,variation,medium
262,Недоволен обслуживанием...,negative_feedback,general,escalation_flow,augmented,simple
263,Есть время на на этой неделе 🙏,booking,new_appointment,booking_flow,augmented,medium
264,"Привет, выпала пломба, что делать 🦷",anamnesis,complaint,anamnesis_flow,augmented,complex
265,ЭТО БЕЗОБРАЗИЕ 👍,negative_feedback,general,escalation_flow,augmented,simple
266,"Здравствуйте, так и не перезвонили",negative_feedback,service_issue,escalation_flow,augmented,complex
267,Пломба выпала,anamnesis,complaint,anamnesis_flow,template,simple
268,Хочу изменить время записи...,booking,reschedule,booking_flow,augmented,simple
269,Добырй вечер!,conversational,greeting,conversation_flow,augmented,simple
270,"Добрый день, может быть",conversational,unclear,clarification_flow,augmented,complex
271,прождал час заранее спасибо,negative_feedback,service_issue,escalation_flow,augmented,simple
272,"Да, конечно спасибо?!",conversational,confirmation,conversation_flow,augmented,complex
273,После протезирование у Волкова стало хуже,negative_feedback,quality,escalation_flow,variation,medium
274,это больно,faq,procedure,faq_flow,augmented,simple
275,Очень благодарен!,conversational,gratitude,conversation_flow,augmented,simple
276,"Добрый день, после лечение кариеса у Иванова стало хуже?",negative_feedback,quality,escalation_flow,augmented,complex
277,ага спасибо,conversational,confirmation,conversation_flow,augmented,simple
278,Ждал с тура,negative_feedback,service_issue,escalation_flow,augmented,simple
279,Спасибо 😢,conversational,gratitude,conversation_flow,augmented,simple
280,Появился неприятный привкус,anamnesis,symptom,anamnesis_flow,template,simple
281,Сидорова был груб!,negative_feedback,staff,escalation_flow,augmented,simple
282,"СКАЖИТЕ, ОЧЕНЬ БЛАГОДАРЕН",conversational,gratitude,conversation_flow,augmented,complex
283,"Скажите, какая цена на отбеливание!",faq,price,faq_flow,augmented,complex
284,Ест ьли скидки?,faq,price,faq_flow,augmented,simple
285,Принимаете рассрочку 😊,faq,clinic_info,faq_flow,augmented,simple
286,после имплантацию у лебедевой стало хуже 🦷,negative_feedback,quality,escalation_flow,augmented,medium
287,Есть имплантолог?,faq,clinic_info,faq_flow,template,simple
288,имплантацию сколько стоит.,faq,price,faq_flow,augmented,simple
289,"Отмените запись, заболел",booking,cancel,booking_flow,variation,simple
290,Хочу консультацию пожалуйста,anamnesis,services,anamnesis_flow,augmented,simple
291,"Подскажите, хочу профгигиену",anamnesis,services,anamnesis_flow,augmented,complex
292,"Здравствуйте, мНЕ НЕ ПЕРЕЗВОНИЛИ МЕСЯЦ",negative_feedback,service_issue,escalation_flow,augmented,complex
293,Можно на понедельник 😢?!,booking,new_appointment,booking_flow,augmented,simple
294,А ОБЯЗАТЕЛЬНО!,faq,followup,faq_flow,augmented,simple
295,Записаться к терапевту спасибо,booking,new_appointment,booking_flow,augmented,simple
296,Как проходит брекеты?,faq,procedure,faq_flow,variation,simple
297,Отмените приём пожалуйста заранее спасибо,booking,cancel,booking_flow,augmented,simple
298,Не решил ещё пожалуйста,conversational,unclear,clarification_flow,augmented,simple
299,Что посоветуете пожалуйста спасибо,faq,followup,faq_flow,augmented,simple
300,"Подскажите, отмените запись, уезжаю",booking,cancel,booking_flow,augmented,complex
301,Врачб ыл груб,negative_feedback,staff,escalation_flow,augmented,simple
302,"Привет, не понравилось пожалуйста",negative_feedback,general,escalation_flow,augmented,complex
303,Возможно 🦷,conversational,unclear,clarification_flow,augmented,simple
304,"Привет, ждал три дня",negative_feedback,service_issue,escalation_flow,augmented,complex
305,запись к ортопеду на сегодня заранее спасибо,booking,new_appointment,booking_flow,augmented,medium
306,"Добрый день, плохая клиника",negative_feedback,general,escalation_flow,augmented,complex
307,Спасибо за помщоь,conversational,gratitude,conversation_flow,augmented,simple
308,Какая цена на удаление?,faq,price,faq_flow,variation,simple
309,Цена на имплантацию заранее спасибо,faq,price,faq_flow,augmented,simple
310,"Скажите, запишите к терапевту!!",booking,new_appointment,booking_flow,augmented,complex
311,Я вам перезвоню!!,conversational,unclear,clarification_flow,augmented,simple
312,Интересуют элайнеры пожалуйста,anamnesis,services,anamnesis_flow,augmented,simple
313,Доброе утро,conversational,greeting,conversation_flow,template,simple
314,"Скажите, есть парйс-лист?",faq,price,faq_flow,augmented,complex
315,"ПРИВЕТ, ПЕРЕНЕСИТЕ НА СЕГОДНЯ",booking,reschedule,booking_flow,augmented,complex
316,"Привет, добрйы вечер!",conversational,greeting,conversation_flow,augmented,complex
317,Работаете в субботу,faq,clinic_info,faq_flow,augmented,simple
318,Появилась язвочка во рту спасибо,anamnesis,complaint,anamnesis_flow,augmented,simple
319,Есьт наркоз?,faq,clinic_info,faq_flow,augmented,simple
320,"Добрый день, да, конечно?!",conversational,confirmation,conversation_flow,augmented,complex
321,Хочуо тказаться от записи 😢,booking,cancel,booking_flow,augmented,simple
322,Перенесите на слдеующую неделю,booking,reschedule,booking_flow,augmented,simple
323,Сколько нельзя пить алкоголь после протезирование заранее спасибо?,faq,visit_prep,faq_flow,augmented,medium
324,"Подскажите, пока!!",conversational,farewell,conversation_flow,augmented,complex
325,Здорово 😊 спасибо,conversational,greeting,conversation_flow,augmented,simple
326,Онемела губа,anamnesis,symptom,anamnesis_flow,template,simple
327,Больше не приду,negative_feedback,general,escalation_flow,template,simple
328,Запись к детскому стоматологу на вечер.,booking,new_appointment,booking_flow,augmented,medium
329,"Добрый день, да",conversational,confirmation,conversation_flow,augmented,complex
330,"Подскажите, есть время на среду",booking,new_appointment,booking_flow,augmented,complex
331,Благодарю 🦷,conversational,gratitude,conversation_flow,augmented,simple
332,Сколько нельзя заниматься спортом после пломбирование 🙏,faq,visit_prep,faq_flow,augmented,medium
333,"Не Смогу прийти, заболел пожалуйста",booking,cancel,booking_flow,augmented,complex
334,Где оставитьж алобу 👍,negative_feedback,general,escalation_flow,augmented,simple
335,Не реКомендую заранее спасибо,negative_feedback,general,escalation_flow,augmented,simple
336,Мне не перезвонили несколько дней.,negative_feedback,service_issue,escalation_flow,augmented,simple
337,Болит шестёрка уже со вчера,anamnesis,symptom,anamnesis_flow,variation,simple
338,"Скажите, не смогу прийти, форс-мажор",booking,cancel,booking_flow,augmented,complex
339,Как подготовиться к удаление?,faq,visit_prep,faq_flow,variation,simple
340,"Добрый день, добрый вечер!",conversational,greeting,conversation_flow,augmented,complex
341,"Здравствуйте, до свидания!",conversational,farewell,conversation_flow,augmented,complex
342,ХОУЧ ОСТАВИТЬ ЖАЛОБУ,negative_feedback,general,escalation_flow,augmented,simple
343,Посоветуюсь 😊,conversational,unclear,clarification_flow,augmented,simple
344,"Скажит,е привет!",conversational,greeting,conversation_flow,augmented,complex
345,Персоналх амит 🦷,negative_feedback,staff,escalation_flow,augmented,simple
346,Запись к челюстно-лицевому хирургу на в ближайшее время 🙏,booking,new_appointment,booking_flow,augmented,medium
347,Не смогу прийти,booking,cancel,booking_flow,template,simple
348,Спасибо за информцаию,conversational,gratitude,conversation_flow,augmented,simple
349,Что если не поможет спасибо,faq,followup,faq_flow,augmented,simple
350,Нужно осмотр?,anamnesis,services,anamnesis_flow,augmented,simple
351,ОК!!,conversational,confirmation,conversation_flow,augmented,simple
352,После коронку у Петровой стало хуже?,negative_feedback,quality,escalation_flow,augmented,medium
353,чистку сколько стоит,faq,price,faq_flow,augmented,simple
354,Почём реставрацию,faq,price,faq_flow,augmented,simple
355,"Добрый день, не знаю 😢",conversational,unclear,clarification_flow,augmented,complex
356,После консульатцию у Иванова стало хуже,negative_feedback,quality,escalation_flow,augmented,medium
