text_preview,gold,predicted,action,reason,confidence,margin,sparse_dense_agree,dense_label,correct
на работе посоветовали демина раньше был у вас демин не сменил клинику?,faq,faq,defer,low_confidence,0.4304,0.0364,True,faq,False
демин ещё принимает у вас,faq,faq,accept,general_confident,0.7214,0.5909,True,faq,True
работает ли демин в вашей клинике,faq,faq,accept,general_confident,0.8026,0.6493,True,faq,True
доктор демин у вас ещё?,faq,faq,defer,low_confidence,0.4796,0.0566,True,faq,False
пародонтолог есть,faq,faq,defer,low_confidence,0.5895,0.4278,True,faq,False
у вас паронтолог,faq,faq,accept,general_confident,0.6597,0.4764,True,faq,True
чё пародонтолог имеется,faq,faq,defer,low_confidence,0.4824,0.2614,True,faq,False
друг сказал идти к пародонтологу в вашу клинику такой доктор работает,faq,faq,defer,low_confidence,0.6249,0.3675,True,faq,False
для мамы нужен специалист пародонтолог у вас есть такой врач или нет,faq,faq,accept,general_confident,0.7234,0.5364,True,faq,True
на работе коллега хвалил вашего пародонтолога правда он есть,faq,faq,defer,sparse_dense_disagree,0.5951,0.4104,False,unsupported,False
слышала про лечение десен у вас пародонтолог принимает пациентов,faq,faq,accept,general_confident,0.7573,0.6345,True,faq,True
есть пародонтолог у вас,faq,faq,accept,general_confident,0.7243,0.6134,True,faq,True
работает пародонтолог,faq,faq,defer,low_confidence,0.5964,0.384,True,faq,False
подскажите про пародонтолога,faq,faq,defer,low_confidence,0.539,0.361,True,faq,False
коновская принимает,faq,faq,defer,sparse_dense_disagree,0.6236,0.4718,False,booking,False
конновская есть,faq,faq,defer,low_confidence,0.5149,0.319,True,faq,False
к конновской можно,faq,faq,defer,sparse_dense_disagree,0.3594,0.0734,False,booking,False
раньше ходила к конновской она ещё у вас работает,faq,faq,defer,low_confidence,0.4334,0.0437,True,faq,False
муж хочет только к конновской она принимает по вечерам,faq,faq,defer,sparse_dense_disagree,0.566,0.3755,False,booking,False
дочке понравилась конновская ведёт она приём сейчас,faq,unsupported,defer,sparse_dense_disagree,0.3693,0.1141,False,booking,False
на работе слышал про конновскую у вас она есть,faq,faq,defer,sparse_dense_disagree,0.469,0.2292,False,unsupported,False
конновская ведёт приём,faq,booking,defer,low_confidence,0.3931,0.1476,True,booking,False
конновская работает у вас,faq,faq,defer,low_confidence,0.6103,0.333,True,faq,False
принимает ли коновская,faq,faq,accept,general_confident,0.7341,0.6185,True,faq,True
демин чё спец,faq,unsupported,defer,sparse_dense_disagree,0.7506,0.6277,False,faq,False
какой демин врач,faq,faq,defer,low_confidence,0.5399,0.1378,True,faq,False
ребёнку зубы лечить демин детский берёт или только взрослых,faq,faq,accept,general_confident,0.7717,0.6166,True,faq,True
муж хочет к демину а мы не знаем чем он занимается подскажите,faq,faq,defer,low_confidence,0.4812,0.2352,True,faq,False
читала отзывы про демина какая у него специализация точно,faq,faq,defer,sparse_dense_disagree,0.4486,0.0576,False,unsupported,False
на работе посоветовали демина интересно на каких зубах он спец,faq,anamnesis,defer,low_confidence,0.3928,0.0736,True,anamnesis,False
подскажите чем занимается демин,faq,faq,defer,low_confidence,0.6108,0.4592,True,faq,False
какая у демина специализация,faq,faq,defer,low_confidence,0.5685,0.2569,True,faq,False
демин какой профиль,faq,faq,defer,low_confidence,0.4514,0.1272,True,faq,False
зписаться к конновской,booking,booking,defer,low_confidence,0.5594,0.3768,True,booking,False
к конновской срочно,booking,booking,defer,low_confidence,0.2971,0.0004,True,booking,False
конновская есть?,booking,faq,accept,general_confident,0.6901,0.5628,True,faq,False
на работе только вечером могу к конновской запишитесь пожалуйста на завтра,booking,booking,accept,general_confident,0.9108,0.8632,True,booking,True
ребёнку 7 лет зуб ноет хочу к конновской записать на эту неделю,booking,booking,accept,general_confident,0.7262,0.509,True,booking,True
в понедельник утром к конновской есть место? вчера пломбу потерял,booking,booking,defer,low_confidence,0.3709,0.0851,True,booking,False
можно записаться к конновской,booking,booking,accept,general_confident,0.8733,0.8186,True,booking,True
хочу к конновской на приём,booking,booking,accept,general_confident,0.7611,0.6709,True,booking,True
подскажите время к конновской,booking,faq,defer,sparse_dense_disagree,0.3954,0.021,False,booking,False
