eval_set,id,text,true,pred_sparse,pred_dense,error_type,urgency,subtype,source,seed_id,sparse_error,dense_error,sparse_dense_disagree,rule_category_correct,manual_error_type,audit_comment
hard_test,hard_016,"Выпал штифт, больно, запишите к хирургу",anamnesis,booking,anamnesis,anamnesis_to_booking,normal,complaint,manual_hard,,True,False,True,,,
test,var_seed_261_c08d8f,на след нед меня,booking,booking,unsupported,generic_error,normal,reschedule,grok_variation,seed_261,False,True,True,,,
hard_test,hard_005,"Болит зуб мудрости, есть ли у вас хирург?",anamnesis,faq,faq,anamnesis_to_faq,normal,symptom,manual_hard,,True,True,False,,,
test,seed_355,Кто-нибудь на связи?,unsupported,faq,faq,both_wrong,normal,greeting_only,seed,seed_355,True,True,False,,,
test,var_seed_042_b881bb,временная слетела что делать,anamnesis,anamnesis,booking,generic_error,normal,complaint,grok_variation,seed_042,False,True,True,,,
hard_test,hard_153,"дырка в зубе большая, цена лечения?",anamnesis,faq,faq,both_wrong,normal,symptom,grok_audited,,True,True,False,,,
test,var_seed_073_95e2de,скобки нужны,anamnesis,anamnesis,faq,vague_short_error,normal,treatment_interest,grok_variation,seed_073,False,True,True,,,
test,seed_246,Хочу на имплантацию,booking,anamnesis,anamnesis,vague_short_error,normal,new_appointment,seed,seed_246,True,True,False,,,
test,var_seed_082_53f515,под газом лечите зубы,anamnesis,anamnesis,faq,generic_error,normal,treatment_interest,grok_variation,seed_082,False,True,True,,,
hard_test,hard_052,Аллергическая реакция после анестезии,anamnesis,faq,unsupported,both_wrong,urgent,symptom,manual_hard,,True,True,True,,,
hard_test,hard_079,Мне нужна Конновская,faq,anamnesis,anamnesis,specialization_confusion,normal,doctor_info,manual_hard,,True,True,False,,,
test,var_seed_183_37b2b7,про докторов чё,faq,unsupported,unsupported,vague_short_error,normal,doctor_info,grok_variation,seed_183,True,True,False,,,
hard_test,hard_161,"Зуб кровит, когда можно прийти и сколько это стоит?",anamnesis,faq,faq,anamnesis_to_faq,normal,symptom,grok_rewritten,,True,True,False,,,
hard_test,hard_028,"Ребёнку больно, есть детский стоматолог?",anamnesis,faq,faq,both_wrong,normal,symptom,manual_hard,,True,True,False,,,
hard_test,hard_159,"Передний зуб шатается, сколько стоит фиксация?",anamnesis,faq,faq,both_wrong,normal,symptom,grok_rewritten,,True,True,False,,,
test,var_seed_400_3b1cb5,был на чистке камень сняли зубы как новые соседям расскажу иди к ним,unsupported,anamnesis,unsupported,generic_error,normal,feedback,grok_variation,seed_400,True,False,True,,,
test,var_seed_080_7acc4d,хочу восьмёрку вырвать,anamnesis,faq,booking,models_disagree_both_wrong,normal,treatment_interest,grok_variation,seed_080,True,True,True,,,
hard_test,hard_003,"Выпала пломба, когда можно прийти?",anamnesis,booking,booking,anamnesis_to_booking,normal,complaint,manual_hard,,True,True,False,,,
test,var_seed_143_c2f93a,телефон чё,faq,unsupported,unsupported,vague_short_error,normal,clinic_info,grok_variation,seed_143,True,True,False,,,
test,var_seed_319_ebfcac,хочу пиццу доставь,unsupported,anamnesis,unsupported,vague_short_error,normal,offtopic,grok_variation,seed_319,True,False,True,,,
test,var_seed_177_fcb7f1,демин чё спец,faq,unsupported,faq,vague_short_error,normal,doctor_info,grok_variation,seed_177,True,False,True,,,
test,var_seed_251_7a2629,конновская есть?,booking,faq,faq,vague_short_error,normal,new_appointment,grok_variation,seed_251,True,True,False,,,
hard_test,hard_084,Ермаков свободен завтра?,faq,booking,booking,vague_short_error,normal,doctor_info,manual_hard,,True,True,False,,,
hard_test,hard_002,"Десна кровоточит, можно записаться?",anamnesis,booking,faq,both_wrong,normal,symptom,manual_hard,,True,True,True,,,
hard_test,hard_123,"Десна отекла после полоскания, это нормально?",anamnesis,anamnesis,faq,generic_error,normal,symptom,grok_rewritten,,False,True,True,,,
test,var_seed_206_1ee0c0,мне кт на нижнюю челюсть врач выписал а в инете пишут разное про подготовку что нужно,faq,anamnesis,faq,faq_to_anamnesis,normal,procedure_info,grok_variation,seed_206,True,False,True,,,
hard_test,hard_085,Есть Сидорова? Запишите к ней,faq,booking,booking,specialization_confusion,normal,doctor_info,manual_hard,,True,True,False,,,
hard_test,hard_039,Чистка,anamnesis,anamnesis,unsupported,vague_short_error,normal,treatment_interest,manual_hard,,False,True,True,,,
test,var_seed_080_3d270b,восьмерку удалить чот,anamnesis,faq,faq,anamnesis_to_faq,normal,treatment_interest,grok_variation,seed_080,True,True,False,,,
