text_preview,gold,predicted,action,reason,is_rule_accept,confidence,margin,correct
друг сделал элайнеры теперь я думаю скока у вас полный комплект выйдет деньгами,faq,faq,accept,general_confident,False,0.63,0.413,True
сколько стоят элайнеры,faq,faq,accept,general_confident,False,0.7949,0.6824,True
демин ещё есть?,faq,faq,defer,low_confidence,False,0.6053,0.4467,False
демин работает?,faq,faq,defer,low_confidence,False,0.5274,0.1866,False
у вас демин?,faq,faq,accept,general_confident,False,0.6353,0.3884,True
лечилась у демина год назад понравилось демин щас принимает у вас?,faq,faq,defer,low_confidence,False,0.5332,0.3219,False
ребёнку ставили у демина всё ок теперь опять нужен демин ещё работает?,faq,unsupported,defer,sparse_dense_disagree,False,0.4107,0.0316,False
слышал демин ушёл правда ли демин продолжает у вас работать?,faq,faq,accept,general_confident,False,0.6493,0.4535,True
на работе посоветовали демина раньше был у вас демин не сменил клинику?,faq,faq,defer,low_confidence,False,0.4304,0.0364,False
демин ещё принимает у вас,faq,faq,accept,general_confident,False,0.7214,0.5909,True
работает ли демин в вашей клинике,faq,faq,accept,general_confident,False,0.8026,0.6493,True
доктор демин у вас ещё?,faq,faq,defer,low_confidence,False,0.4796,0.0566,False
пародонтолог есть,faq,faq,defer,low_confidence,False,0.5895,0.4278,False
у вас паронтолог,faq,faq,accept,general_confident,False,0.6597,0.4764,True
чё пародонтолог имеется,faq,faq,defer,low_confidence,False,0.4824,0.2614,False
друг сказал идти к пародонтологу в вашу клинику такой доктор работает,faq,faq,defer,low_confidence,False,0.6249,0.3675,False
для мамы нужен специалист пародонтолог у вас есть такой врач или нет,faq,faq,accept,general_confident,False,0.7234,0.5364,True
на работе коллега хвалил вашего пародонтолога правда он есть,faq,faq,defer,sparse_dense_disagree,False,0.5951,0.4104,False
слышала про лечение десен у вас пародонтолог принимает пациентов,faq,faq,accept,general_confident,False,0.7573,0.6345,True
есть пародонтолог у вас,faq,faq,accept,general_confident,False,0.7243,0.6134,True
работает пародонтолог,faq,faq,defer,low_confidence,False,0.5964,0.384,False
подскажите про пародонтолога,faq,faq,defer,low_confidence,False,0.539,0.361,False
коновская принимает,faq,faq,defer,sparse_dense_disagree,False,0.6236,0.4718,False
конновская есть,faq,faq,defer,low_confidence,False,0.5149,0.319,False
к конновской можно,faq,faq,defer,sparse_dense_disagree,False,0.3594,0.0734,False
раньше ходила к конновской она ещё у вас работает,faq,faq,defer,low_confidence,False,0.4334,0.0437,False
муж хочет только к конновской она принимает по вечерам,faq,faq,defer,sparse_dense_disagree,False,0.566,0.3755,False
дочке понравилась конновская ведёт она приём сейчас,faq,unsupported,defer,sparse_dense_disagree,False,0.3693,0.1141,False
на работе слышал про конновскую у вас она есть,faq,faq,defer,sparse_dense_disagree,False,0.469,0.2292,False
конновская ведёт приём,faq,booking,defer,low_confidence,False,0.3931,0.1476,False
конновская работает у вас,faq,faq,defer,low_confidence,False,0.6103,0.333,False
принимает ли коновская,faq,faq,accept,general_confident,False,0.7341,0.6185,True
демин чё спец,faq,unsupported,defer,sparse_dense_disagree,False,0.7506,0.6277,False
какой демин врач,faq,faq,defer,low_confidence,False,0.5399,0.1378,False
ребёнку зубы лечить демин детский берёт или только взрослых,faq,faq,accept,general_confident,False,0.7717,0.6166,True
муж хочет к демину а мы не знаем чем он занимается подскажите,faq,faq,defer,low_confidence,False,0.4812,0.2352,False
читала отзывы про демина какая у него специализация точно,faq,faq,defer,sparse_dense_disagree,False,0.4486,0.0576,False
на работе посоветовали демина интересно на каких зубах он спец,faq,anamnesis,defer,low_confidence,False,0.3928,0.0736,False
подскажите чем занимается демин,faq,faq,defer,low_confidence,False,0.6108,0.4592,False
какая у демина специализация,faq,faq,defer,low_confidence,False,0.5685,0.2569,False
демин какой профиль,faq,faq,defer,low_confidence,False,0.4514,0.1272,False
зписаться к конновской,booking,booking,defer,low_confidence,False,0.5594,0.3768,False
к конновской срочно,booking,booking,defer,low_confidence,False,0.2971,0.0004,False
конновская есть?,booking,faq,accept,general_confident,False,0.6901,0.5628,False
на работе только вечером могу к конновской запишитесь пожалуйста на завтра,booking,booking,accept,general_confident,False,0.9108,0.8632,True
ребёнку 7 лет зуб ноет хочу к конновской записать на эту неделю,booking,booking,accept,general_confident,False,0.7262,0.509,True
в понедельник утром к конновской есть место? вчера пломбу потерял,booking,booking,defer,low_confidence,False,0.3709,0.0851,False
можно записаться к конновской,booking,booking,accept,general_confident,False,0.8733,0.8186,True
хочу к конновской на приём,booking,booking,accept,general_confident,False,0.7611,0.6709,True
подскажите время к конновской,booking,faq,defer,sparse_dense_disagree,False,0.3954,0.021,False
