seed_id,text,route_domain,subtype,status,new_domain,new_subtype,faq_category,notes
seed_034,"Флюс, щека раздуло",anamnesis,symptom,keep,,,n/a,
seed_035,Онемение губы после лечения,anamnesis,symptom,keep,,,n/a,
seed_036,Выпала пломба,anamnesis,complaint,keep,,,n/a,
seed_037,Откололся кусок зуба,anamnesis,complaint,keep,,,n/a,
seed_038,Коронка шатается,anamnesis,complaint,keep,,,n/a,
seed_039,Треснул зуб,anamnesis,complaint,keep,,,n/a,
seed_040,Брекет отклеился,anamnesis,complaint,keep,,,n/a,
seed_041,Сломался передний зуб,anamnesis,complaint,keep,,,n/a,
seed_042,Временная пломба вылетела,anamnesis,complaint,keep,,,n/a,
seed_043,Протез натирает десну,anamnesis,complaint,keep,,,n/a,
seed_044,Мост отпал,anamnesis,complaint,keep,,,n/a,
seed_045,Потерял два передних зуба,anamnesis,complaint,keep,,,n/a,
seed_046,Зуб крошится,anamnesis,complaint,keep,,,n/a,
seed_047,Выпал штифт из зуба,anamnesis,complaint,keep,,,n/a,
seed_048,Проволока от брекетов царапает щёку,anamnesis,complaint,keep,,,n/a,
seed_049,Винир отвалился,anamnesis,complaint,keep,,,n/a,
seed_050,Зуб разрушен до корня,anamnesis,complaint,keep,,,n/a,
seed_051,Стёрлись передние зубы,anamnesis,complaint,keep,,,n/a,
seed_052,"Пломба потемнела, некрасиво",anamnesis,complaint,keep,,,n/a,
seed_053,Промежутки между зубами увеличились,anamnesis,complaint,keep,,,n/a,
seed_054,Ретейнер сломался,anamnesis,complaint,keep,,,n/a,
seed_055,Имплант шатается,anamnesis,complaint,keep,,,n/a,
seed_056,После лечения каналов стало хуже,anamnesis,complaint,keep,,,n/a,
seed_057,Зуб сместился после удара,anamnesis,complaint,keep,,,n/a,
seed_058,Съёмный протез не держится,anamnesis,complaint,keep,,,n/a,
seed_059,Скол на переднем зубе,anamnesis,complaint,keep,,,n/a,
seed_060,"Камень на зубах, не чистили давно",anamnesis,complaint,keep,,,n/a,
seed_061,У ребёнка чёрные дырочки на зубах,anamnesis,complaint,keep,,,n/a,
seed_062,У ребёнка налёт на зубах,anamnesis,complaint,keep,,,n/a,
seed_063,"Нет нескольких зубов, жевать неудобно",anamnesis,complaint,keep,,,n/a,
seed_064,"Зубы серого цвета, стесняюсь улыбаться",anamnesis,complaint,keep,,,n/a,
seed_065,Щель между передними зубами,anamnesis,complaint,keep,,,n/a,
seed_066,Кривые зубы,anamnesis,complaint,keep,,,n/a,
seed_067,Неправильный прикус,anamnesis,complaint,keep,,,n/a,
seed_068,У ребёнка нет места для зубов,anamnesis,complaint,keep,,,n/a,
seed_069,У ребёнка не закрывается рот полностью,anamnesis,complaint,keep,,,n/a,
seed_070,Альвеолит после удаления,anamnesis,complaint,keep,,,n/a,
seed_071,Хочу отбеливание,anamnesis,treatment_interest,keep,,,n/a,
seed_072,Интересует имплантация,anamnesis,treatment_interest,keep,,,n/a,
seed_073,Нужны брекеты,anamnesis,treatment_interest,keep,,,n/a,
seed_074,Хочу виниры,anamnesis,treatment_interest,keep,,,n/a,
seed_075,Нужна профессиональная чистка,anamnesis,treatment_interest,keep,,,n/a,
seed_076,Хочу поставить импланты вместо протеза,anamnesis,treatment_interest,keep,,,n/a,
seed_077,Интересует исправление прикуса,anamnesis,treatment_interest,keep,,,n/a,
seed_078,Хочу элайнеры,anamnesis,treatment_interest,keep,,,n/a,
seed_079,Нужен мост на нижнюю челюсть,anamnesis,treatment_interest,keep,,,n/a,
seed_080,Хочу удалить зуб мудрости,anamnesis,treatment_interest,keep,,,n/a,
seed_081,Интересует пластика десны,anamnesis,treatment_interest,keep,,,n/a,
seed_082,Хочу лечение под седацией,anamnesis,treatment_interest,keep,,,n/a,
seed_083,Нужна реставрация переднего зуба,anamnesis,treatment_interest,keep,,,n/a,
seed_084,Интересует протезирование на имплантах,anamnesis,treatment_interest,keep,,,n/a,
seed_085,Хочу all-on-4,anamnesis,treatment_interest,keep,,,n/a,
seed_086,Нужна детская чистка,anamnesis,treatment_interest,keep,,,n/a,
seed_087,Хочу герметизацию фиссур ребёнку,anamnesis,treatment_interest,keep,,,n/a,
seed_088,Интересует фторирование,anamnesis,treatment_interest,keep,,,n/a,
seed_089,Хочу убрать зубной камень,anamnesis,treatment_interest,keep,,,n/a,
seed_090,Нужно вылечить кариес,anamnesis,treatment_interest,keep,,,n/a,
seed_091,Хочу лечение каналов,anamnesis,treatment_interest,keep,,,n/a,
seed_092,Интересует закись азота для ребёнка,anamnesis,treatment_interest,keep,,,n/a,
seed_093,Нужна коронка,anamnesis,treatment_interest,keep,,,n/a,
seed_094,Хочу циркониевые коронки,anamnesis,treatment_interest,keep,,,n/a,
seed_095,Интересует костная пластика,anamnesis,treatment_interest,keep,,,n/a,
seed_096,Хочу одномоментную имплантацию,anamnesis,treatment_interest,keep,,,n/a,
seed_097,Нужна пластика уздечки губы,anamnesis,treatment_interest,keep,,,n/a,
seed_098,Интересуюсь лазерным лечением,anamnesis,treatment_interest,keep,,,n/a,
seed_099,Хочу художественную реставрацию,anamnesis,treatment_interest,keep,,,n/a,
seed_100,Нужно поставить вкладку,anamnesis,treatment_interest,keep,,,n/a,
seed_101,Интересует синус-лифтинг,anamnesis,treatment_interest,keep,,,n/a,
seed_102,Хочу ночную каппу от бруксизма,anamnesis,treatment_interest,keep,,,n/a,
seed_103,Нужна спортивная каппа,anamnesis,treatment_interest,keep,,,n/a,
seed_104,Хочу сделать КТ зубов,anamnesis,treatment_interest,keep,,,n/a,
seed_105,Нужен профосмотр,anamnesis,treatment_interest,keep,,,n/a,
seed_106,Сколько стоит имплант?,faq,price,keep,,,n/a,
seed_107,Какие цены на чистку?,faq,price,keep,,,n/a,
seed_108,Стоимость брекетов,faq,price,keep,,,n/a,
seed_109,Прайс на виниры,faq,price,keep,,,n/a,
seed_110,Есть рассрочка на имплантацию?,faq,price,keep,,,n/a,
seed_111,Сколько стоит удаление зуба мудрости?,faq,price,keep,,,n/a,
seed_112,Цена отбеливания?,faq,price,keep,,,n/a,
seed_113,Почём коронка из циркония?,faq,price,keep,,,n/a,
seed_114,Сколько стоит лечение кариеса?,faq,price,keep,,,n/a,
seed_115,Есть беспроцентная рассрочка?,faq,price,keep,,,n/a,
seed_116,Стоимость консультации,faq,price,keep,,,n/a,
seed_117,Сколько стоит КТ?,faq,price,keep,,,n/a,
seed_118,Цена элайнеров?,faq,price,keep,,,n/a,
seed_119,Что дешевле — мост или имплант?,faq,price,keep,,,n/a,
seed_120,Сколько будет стоить всё лечение?,faq,price,keep,,,n/a,
seed_121,Стоимость пломбы,faq,price,keep,,,n/a,
seed_122,Цена протезирования,faq,price,keep,,,n/a,
seed_123,Сколько стоит лечение каналов?,faq,price,keep,,,n/a,
seed_124,Цена детской чистки?,faq,price,keep,,,n/a,
seed_125,Анестезия входит в стоимость?,faq,price,keep,,,n/a,
seed_126,Стоимость пластики десны,faq,price,keep,,,n/a,
seed_127,Прайс-лист есть?,faq,price,keep,,,n/a,
seed_128,На сколько месяцев рассрочка?,faq,price,keep,,,n/a,
seed_129,Цена снятия брекетов?,faq,price,keep,,,n/a,
seed_130,Стоимость all-on-4,faq,price,keep,,,n/a,
seed_131,Сколько стоит снимок зуба?,faq,price,keep,,,n/a,
seed_132,Цена герметизации фиссур?,faq,price,keep,,,n/a,
seed_133,Стоимость удаления нерва,faq,price,keep,,,n/a,
seed_134,Принимаете по ДМС?,faq,price,keep,,,policy_only,
seed_135,Можно оплатить картой?,faq,price,keep,,,n/a,Пограничный price/clinic_info (форма оплаты). Оставлено как price.
seed_136,Где вы находитесь?,faq,clinic_info,keep,,,n/a,
seed_137,Работаете в субботу?,faq,clinic_info,keep,,,n/a,
seed_138,Есть парковка?,faq,clinic_info,keep,,,n/a,
seed_139,Какой у вас адрес?,faq,clinic_info,keep,,,n/a,
seed_140,До скольки работаете?,faq,clinic_info,keep,,,n/a,
seed_141,Принимаете детей?,faq,clinic_info,keep,,,n/a,
seed_142,С какого возраста берёте детей?,faq,clinic_info,keep,,,n/a,
seed_143,Какой телефон клиники?,faq,clinic_info,keep,,,n/a,
seed_144,Работаете в воскресенье?,faq,clinic_info,keep,,,n/a,
seed_145,Есть ли у вас лицензия?,faq,clinic_info,keep,,,n/a,
seed_146,Есть седация?,faq,clinic_info,keep,,,n/a,Пограничный clinic_info/procedure_info (наличие седации). Оставлено как clinic_info.
seed_147,Лечите под закисью азота?,faq,clinic_info,keep,,,n/a,Пограничный clinic_info/procedure_info (наличие закиси). Оставлено как clinic_info.
seed_148,Как к вам добраться?,faq,clinic_info,keep,,,n/a,
seed_149,Какие формы оплаты?,faq,clinic_info,keep,,,n/a,
seed_150,Даёте гарантию на лечение?,faq,clinic_info,keep,,,n/a,
seed_151,Какие документы нужны на приём?,faq,clinic_info,keep,,,n/a,
seed_152,Есть электронная запись?,faq,clinic_info,keep,,,n/a,
seed_153,Делаете КТ у вас?,faq,clinic_info,keep,,,n/a,
seed_154,Есть рентген в клинике?,faq,clinic_info,keep,,,n/a,
seed_155,Во сколько открываетесь?,faq,clinic_info,keep,,,n/a,
seed_156,Как называется ваша клиника?,faq,clinic_info,keep,,,n/a,
seed_157,Вы на Рябикова?,faq,clinic_info,keep,,,n/a,
seed_158,Есть налоговый вычет за лечение?,faq,clinic_info,keep,,,policy_only,
seed_159,Даёте справку для налоговой?,faq,clinic_info,keep,,,policy_only,
seed_160,Есть программа лояльности?,faq,clinic_info,keep,,,policy_only,
seed_161,Акции есть?,faq,clinic_info,keep,,,policy_only,
seed_162,Нужно ли направление?,faq,clinic_info,keep,,,n/a,
seed_163,Куда жаловаться?,faq,clinic_info,keep,,,n/a,"'Куда жаловаться?' — информационный запрос, не feedback. Оставлено как clinic_info."
seed_164,Есть вай-фай в клинике?,faq,clinic_info,keep,,,n/a,
seed_165,Сколько детских стоматологов?,faq,doctor_info,relabel,faq,doctor_info,n/a,"'Сколько детских стоматологов?' — вопрос о врачах, не о клинике. clinic_info → doctor_info."
seed_166,Работает ли у вас Батылин?,faq,doctor_info,keep,,,n/a,
seed_167,Кто ваш лучший ортодонт?,faq,doctor_info,keep,,,subjective,
seed_168,Какой стаж у хирурга?,faq,doctor_info,keep,,,n/a,
seed_169,Есть детский стоматолог?,faq,doctor_info,keep,,,n/a,
seed_170,Кто делает имплантацию?,faq,doctor_info,keep,,,n/a,
seed_171,У вас есть ортодонт Ермаков?,faq,doctor_info,keep,,,n/a,
seed_172,Демин ещё работает у вас?,faq,doctor_info,keep,,,n/a,
seed_173,Кто лечит детей?,faq,doctor_info,keep,,,n/a,
seed_174,Есть ли пародонтолог?,faq,doctor_info,keep,,,n/a,
seed_175,Кто самый опытный врач?,faq,doctor_info,keep,,,subjective,
seed_176,Конновская принимает?,faq,doctor_info,keep,,,n/a,
seed_177,Какая специализация у Демина?,faq,doctor_info,keep,,,n/a,
seed_178,Кто ставит брекеты?,faq,doctor_info,keep,,,n/a,
seed_179,Есть ортопед?,faq,doctor_info,keep,,,n/a,
seed_180,Кто делает протезирование?,faq,doctor_info,keep,,,n/a,
seed_181,Есть врач-гнатолог?,faq,doctor_info,keep,,,n/a,
seed_182,Кто удаляет зубы мудрости?,faq,doctor_info,keep,,,n/a,
seed_183,Расскажите про ваших врачей,faq,doctor_info,keep,,,n/a,
seed_184,Стаж работы Ермакова?,faq,doctor_info,keep,,,n/a,
seed_185,Есть анестезиолог?,faq,doctor_info,keep,,,n/a,
seed_186,Кто лечит десны?,faq,doctor_info,keep,,,n/a,
seed_187,Какие врачи работают по выходным?,faq,doctor_info,keep,,,n/a,
seed_188,У кого больше всего отзывов?,faq,doctor_info,keep,,,subjective,
seed_189,Есть терапевт-стоматолог?,faq,doctor_info,keep,,,n/a,
seed_190,Кто занимается эстетикой?,faq,doctor_info,keep,,,n/a,
seed_191,Сколько врачей в клинике?,faq,doctor_info,keep,,,n/a,
seed_192,Хочу к женщине-стоматологу,faq,doctor_info,keep,,,subjective,
seed_193,Кто принимает беременных?,faq,doctor_info,keep,,,n/a,
seed_194,Есть хирург для имплантации?,faq,doctor_info,keep,,,n/a,
seed_195,Кто делает снимки?,faq,doctor_info,keep,,,n/a,
seed_196,Имплантация это больно?,faq,procedure_info,keep,,,n/a,
seed_197,Сколько длится чистка?,faq,procedure_info,keep,,,n/a,
seed_198,Какие противопоказания у отбеливания?,faq,procedure_info,keep,,,n/a,
seed_199,Как проходит удаление зуба мудрости?,faq,procedure_info,keep,,,n/a,
seed_200,Через сколько можно есть после пломбы?,faq,procedure_info,keep,,,n/a,
seed_201,Сколько заживает после имплантации?,faq,procedure_info,keep,,,n/a,
seed_202,Как долго носить брекеты?,faq,procedure_info,keep,,,n/a,
seed_203,Анестезия общая или местная?,faq,procedure_info,keep,,,n/a,
seed_204,Какие есть виды имплантов?,faq,procedure_info,keep,,,n/a,
seed_205,Сколько визитов нужно?,faq,procedure_info,keep,,,n/a,
seed_206,Нужна ли подготовка к КТ?,faq,procedure_info,keep,,,n/a,
seed_207,Что нельзя после удаления?,faq,procedure_info,keep,,,n/a,
seed_208,Как ухаживать за брекетами?,faq,procedure_info,keep,,,n/a,
seed_209,Можно ли беременным лечить зубы?,faq,procedure_info,keep,,,n/a,
seed_210,Когда снимают швы после удаления?,faq,procedure_info,keep,,,n/a,
seed_211,Отбеливание вредит эмали?,faq,procedure_info,keep,,,n/a,
seed_212,Какой срок службы импланта?,faq,procedure_info,keep,,,n/a,
seed_213,Можно ли вылечить пульпит за один визит?,faq,procedure_info,keep,,,n/a,
seed_214,Как работает закись азота?,faq,procedure_info,keep,,,n/a,
seed_215,Сколько по времени ставить коронку?,faq,procedure_info,keep,,,n/a,
seed_216,Есть ли риски при имплантации?,faq,procedure_info,keep,,,n/a,
seed_217,Что лучше — мост или имплант?,faq,procedure_info,keep,,,n/a,
seed_218,Можно ли курить после удаления?,faq,procedure_info,keep,,,n/a,
seed_219,Как часто нужна профчистка?,faq,procedure_info,keep,,,n/a,
seed_220,Какие материалы для пломб?,faq,procedure_info,keep,,,n/a,
seed_221,Чем отличаются керамические и металлические брекеты?,faq,procedure_info,keep,,,n/a,
seed_222,Нужен ли ретейнер после брекетов?,faq,procedure_info,keep,,,n/a,
seed_223,Как долго действует анестезия?,faq,procedure_info,keep,,,n/a,
seed_224,Можно ли детям делать рентген?,faq,procedure_info,keep,,,n/a,
seed_225,Нужна ли диета после отбеливания?,faq,procedure_info,keep,,,n/a,
seed_226,Хочу записаться,booking,new_appointment,keep,,,n/a,
seed_227,Когда можно попасть на приём?,booking,new_appointment,keep,,,n/a,
seed_228,Запишите на следующую неделю,booking,new_appointment,keep,,,n/a,
seed_229,Есть свободное время на завтра?,booking,new_appointment,keep,,,n/a,
seed_230,Хочу на консультацию,booking,new_appointment,keep,,,n/a,
seed_231,Записаться на чистку,booking,new_appointment,keep,,,n/a,
seed_232,Запишите к стоматологу,booking,new_appointment,keep,,,n/a,
seed_233,Есть окошко на этой неделе?,booking,new_appointment,keep,,,n/a,
seed_234,Хочу записать ребёнка,booking,new_appointment,keep,,,n/a,
seed_235,Запишите на осмотр,booking,new_appointment,keep,,,n/a,
seed_236,Можно записаться на сегодня?,booking,new_appointment,keep,,,n/a,
seed_237,Запишите к хирургу,booking,new_appointment,keep,,,n/a,
seed_238,Хочу попасть к ортодонту,booking,new_appointment,keep,,,n/a,
seed_239,Нужна запись к детскому стоматологу,booking,new_appointment,keep,,,n/a,
seed_240,Запишите на удаление,booking,new_appointment,keep,,,n/a,
seed_241,Хочу на приём в понедельник,booking,new_appointment,keep,,,n/a,
seed_242,Можно ли записаться онлайн?,faq,clinic_info,relabel,faq,clinic_info,policy_only,"'Можно ли записаться онлайн?' — вопрос о наличии онлайн-записи (FAQ), не сама запись."
seed_243,Запишите двоих — меня и мужа,booking,new_appointment,keep,,,n/a,
seed_244,Есть утренние часы?,booking,new_appointment,keep,,,n/a,
seed_245,Запишите на вечер после 18,booking,new_appointment,keep,,,n/a,
seed_246,Хочу на имплантацию,booking,new_appointment,keep,,,n/a,
seed_247,Нужна срочная запись,booking,new_appointment,keep,,,n/a,
seed_248,Экстренный приём есть?,booking,new_appointment,keep,,,n/a,
seed_249,Записываете первичных?,faq,clinic_info,relabel,faq,clinic_info,policy_only,"'Записываете первичных?' — вопрос о политике клиники (FAQ), не запись."
seed_250,Запишите к Ермакову,booking,new_appointment,keep,,,n/a,
seed_251,Хочу записаться к Конновской,booking,new_appointment,keep,,,n/a,
seed_252,Запишите на ближайшее время,booking,new_appointment,keep,,,n/a,
seed_253,Можно ко вторнику попасть?,booking,new_appointment,keep,,,n/a,
seed_254,Записаться на отбеливание,booking,new_appointment,keep,,,n/a,
seed_255,Хочу на повторный приём,booking,new_appointment,keep,,,n/a,
seed_256,Перенесите на четверг,booking,reschedule,keep,,,n/a,
seed_257,Можно в другое время?,booking,reschedule,keep,,,n/a,
seed_258,Хочу перенести запись,booking,reschedule,keep,,,n/a,
seed_259,"Не могу в понедельник, давайте во вторник",booking,reschedule,keep,,,n/a,
seed_260,Перезапишите на утро,booking,reschedule,keep,,,n/a,
seed_261,Перенесите на следующую неделю,booking,reschedule,keep,,,n/a,
seed_262,Можно перенести на пятницу?,booking,reschedule,keep,,,n/a,
seed_263,"Давайте попозже, часа в 4",booking,reschedule,keep,,,n/a,
seed_264,"Не успеваю к 10, можно к 12?",booking,reschedule,keep,,,n/a,
seed_265,Перенести приём ребёнка,booking,reschedule,keep,,,n/a,
seed_266,Хочу на другой день,booking,reschedule,keep,,,n/a,
seed_267,Можно пораньше?,booking,reschedule,keep,,,n/a,
seed_268,Перенести на послезавтра,booking,reschedule,keep,,,n/a,
seed_269,"Запись была на среду, хочу на четверг",booking,reschedule,keep,,,n/a,
seed_270,Не получается прийти завтра,booking,reschedule,keep,,,n/a,
seed_271,Перезапишите на вечер,booking,reschedule,keep,,,n/a,
seed_272,Давайте перенесём на другого врача,booking,reschedule,keep,,,n/a,
seed_273,Сдвиньте на час позже,booking,reschedule,keep,,,n/a,
seed_274,Меня не устраивает время,booking,reschedule,keep,,,n/a,
seed_275,Перенести запись мужа,booking,reschedule,keep,,,n/a,
seed_276,Хочу перенести с утра на вечер,booking,reschedule,keep,,,n/a,
seed_277,Могу только в субботу,booking,reschedule,keep,,,n/a,
seed_278,Перенести на неделю позже,booking,reschedule,keep,,,n/a,
seed_279,Передвиньте на час раньше,booking,reschedule,keep,,,n/a,
seed_280,Хочу другое время приёма,booking,reschedule,keep,,,n/a,
seed_281,Давайте лучше в пятницу,booking,reschedule,keep,,,n/a,
seed_282,"Можно на обед, около часу?",booking,reschedule,keep,,,n/a,
seed_283,"Перенести, заболел ребёнок",booking,reschedule,keep,,,n/a,
seed_284,"Командировка, нужно на другую дату",booking,reschedule,keep,,,n/a,
seed_285,Поменяйте мне время,booking,reschedule,keep,,,n/a,
seed_286,Отмените запись,booking,cancel,keep,,,n/a,
seed_287,Не приду завтра,booking,cancel,keep,,,n/a,
seed_288,Хочу отменить приём,booking,cancel,keep,,,n/a,
seed_289,Отказываюсь от записи,booking,cancel,keep,,,n/a,
seed_290,Снимите меня с записи,booking,cancel,keep,,,n/a,
seed_291,Отмена,booking,cancel,keep,,,n/a,
seed_292,Не буду приходить,booking,cancel,keep,,,n/a,
seed_293,Отменяю запись на среду,booking,cancel,keep,,,n/a,
seed_294,Передумал идти,booking,cancel,keep,,,n/a,
seed_295,Уберите мою запись,booking,cancel,keep,,,n/a,
seed_296,Не смогу прийти на приём,booking,cancel,keep,,,n/a,
seed_297,Отменить запись ребёнка,booking,cancel,keep,,,n/a,
seed_298,Хочу отказаться от лечения,booking,cancel,keep,,,n/a,
seed_299,"Не нужно, отмените",booking,cancel,keep,,,n/a,
seed_300,Отменяю всё,booking,cancel,keep,,,n/a,
seed_301,Убрать из расписания,booking,cancel,keep,,,n/a,
seed_302,"Болею, не приду",booking,cancel,keep,,,n/a,
seed_303,Отмените завтрашний приём,booking,cancel,keep,,,n/a,
seed_304,Решил не ходить,booking,cancel,keep,,,n/a,
seed_305,Больше не хочу к вам,booking,cancel,keep,,,n/a,'Больше не хочу к вам' — cancel + feedback tone. Рекомендация: добавить feedback_flag.
seed_306,Удалите мою запись,booking,cancel,keep,,,n/a,
seed_307,"Не приду, извините",booking,cancel,keep,,,n/a,
seed_308,"Уезжаю, отмените",booking,cancel,keep,,,n/a,
seed_309,Отказ от записи,booking,cancel,keep,,,n/a,
seed_310,Пойду в другую клинику,booking,cancel,keep,,,n/a,'Пойду в другую клинику' — cancel + feedback tone. Рекомендация: добавить feedback_flag.
seed_311,Отменить и записать заново,booking,cancel,keep,,,n/a,'Отменить и записать заново' — mixed cancel + booking. Первое действие — cancel.
seed_312,"Не получается, отмените пожалуйста",booking,cancel,keep,,,n/a,
seed_313,"Не успеваю, снимайте",booking,cancel,keep,,,n/a,
seed_314,Хочу отменить обе записи,booking,cancel,keep,,,n/a,
seed_315,"Не надо, отменяйте",booking,cancel,keep,,,n/a,
seed_316,Какая погода?,unsupported,offtopic,keep,,,n/a,
seed_317,Расскажи анекдот,unsupported,offtopic,keep,,,n/a,
seed_318,Кто президент?,unsupported,offtopic,keep,,,n/a,
seed_319,Закажи мне пиццу,unsupported,offtopic,keep,,,n/a,
seed_320,Переведи на английский,unsupported,offtopic,keep,,,n/a,
seed_321,Как дела?,unsupported,offtopic,keep,,,n/a,
seed_322,Напиши мне стихотворение,unsupported,offtopic,keep,,,n/a,
seed_323,Когда конец света?,unsupported,offtopic,keep,,,n/a,
seed_324,Ты живой?,unsupported,offtopic,keep,,,n/a,
seed_325,Посоветуй фильм,unsupported,offtopic,keep,,,n/a,
seed_326,Ты робот?,unsupported,offtopic,keep,,,n/a,
seed_327,Расскажи про себя,unsupported,offtopic,keep,,,n/a,
seed_328,Сколько будет 2+2?,unsupported,offtopic,keep,,,n/a,
seed_329,Какой курс доллара?,unsupported,offtopic,keep,,,n/a,
seed_330,Где можно поесть рядом?,unsupported,offtopic,keep,,,n/a,
seed_331,Есть ли тут аптека поблизости?,unsupported,offtopic,keep,,,n/a,
seed_332,Сколько лет ты работаешь?,unsupported,offtopic,keep,,,n/a,
seed_333,Нарисуй зуб,unsupported,offtopic,keep,,,n/a,
seed_334,Поиграем?,unsupported,offtopic,keep,,,n/a,
seed_335,Что ты умеешь?,unsupported,offtopic,keep,,,n/a,
seed_336,Привет,unsupported,greeting_only,keep,,,n/a,
seed_337,Добрый день,unsupported,greeting_only,keep,,,n/a,
seed_338,Здравствуйте,unsupported,greeting_only,keep,,,n/a,
seed_339,Доброе утро,unsupported,greeting_only,keep,,,n/a,
seed_340,Алло,unsupported,greeting_only,keep,,,n/a,
seed_341,Привет!,unsupported,greeting_only,keep,,,n/a,
seed_342,Добрый вечер,unsupported,greeting_only,keep,,,n/a,
seed_343,Здрасьте,unsupported,greeting_only,keep,,,n/a,
seed_344,Приветик,unsupported,greeting_only,keep,,,n/a,
seed_345,Хай,unsupported,greeting_only,keep,,,n/a,
seed_346,Здравствуйте!,unsupported,greeting_only,keep,,,n/a,
seed_347,Добрый день!,unsupported,greeting_only,keep,,,n/a,
seed_348,"Привет, есть кто?",unsupported,greeting_only,keep,,,n/a,
seed_349,"Здравствуйте, это стоматология?",faq,clinic_info,relabel,faq,clinic_info,n/a,greeting + вопрос 'это стоматология?' → faq (greeting_with_intent_rule). Исправлено в YAML.
seed_350,Вы работаете?,unsupported,greeting_only,keep,,,n/a,Пограничный greeting/faq ('Вы работаете?' = 'вы онлайн?' vs 'вы открыты?'). Оставлено как greeting_only.
seed_351,Можно?,unsupported,greeting_only,keep,,,n/a,
seed_352,Здрасте,unsupported,greeting_only,keep,,,n/a,
seed_353,Ку,unsupported,greeting_only,keep,,,n/a,
seed_354,Салют,unsupported,greeting_only,keep,,,n/a,
seed_355,Кто-нибудь на связи?,unsupported,greeting_only,keep,,,n/a,
seed_356,Пока,unsupported,farewell_only,keep,,,n/a,
seed_357,До свидания,unsupported,farewell_only,keep,,,n/a,
seed_358,Всего доброго,unsupported,farewell_only,keep,,,n/a,
seed_359,"Спасибо, до встречи",unsupported,farewell_only,keep,,,n/a,
seed_360,Удачи,unsupported,farewell_only,keep,,,n/a,
seed_361,До скорого,unsupported,farewell_only,keep,,,n/a,
seed_362,"Спасибо, пока",unsupported,farewell_only,keep,,,n/a,
seed_363,"Ладно, пока",unsupported,farewell_only,keep,,,n/a,
seed_364,"Всё, пока",unsupported,farewell_only,keep,,,n/a,
seed_365,Хорошего дня,unsupported,farewell_only,keep,,,n/a,
seed_366,"Благодарю, до свидания",unsupported,farewell_only,keep,,,n/a,
seed_367,Спасибо за помощь,unsupported,farewell_only,keep,,,n/a,
seed_368,Спс,unsupported,farewell_only,keep,,,n/a,
seed_369,"Ок, спасибо",unsupported,farewell_only,keep,,,n/a,
seed_370,"Понял, спасибо",unsupported,farewell_only,keep,,,n/a,
seed_371,"Буду знать, спасибо",unsupported,farewell_only,keep,,,n/a,
seed_372,"Ясно, благодарю",unsupported,farewell_only,keep,,,n/a,
seed_373,"Всё понятно, пока",unsupported,farewell_only,keep,,,n/a,
seed_374,"Отлично, спасибо",unsupported,farewell_only,keep,,,n/a,
