candidate_idx,scenario,text,max_sim_to_hard,nearest_hard_id,max_sim_to_seed,nearest_seed_id,max_sim_to_train,nearest_train_id,auto_reject_reason,intra_pool_duplicate_of
52,simple_faq_clean,дети с какого возраста,0.6238,hard_112,0.7775,seed_142,0.6658,var_seed_173_efdd74,,
53,simple_faq_clean,ночь накануне открыты,0.6016,switch_033,0.6514,seed_155,0.6915,var_seed_155_b71db6,,
54,simple_faq_clean,кабинеты по скольку работают,0.552,switch_040,0.6141,seed_140,0.6684,var_seed_191_828cf0,,
55,simple_faq_clean,маршрут от центра,0.5535,hard_044,0.573,seed_138,0.7598,var_seed_148_33eb9e,,
56,simple_faq_clean,телефон для ориентира,0.6747,hard_044,0.6348,seed_143,0.6693,var_seed_136_6b884e,,
57,simple_faq_clean,ближайший остановка какая,0.6232,switch_024,0.6794,seed_330,0.7299,var_seed_148_33eb9e,,
58,simple_faq_clean,вход с какой стороны,0.5618,hard_044,0.5858,seed_253,0.6396,var_seed_148_9b4e18,,
59,simple_faq_clean,фото фасада покажите,0.6285,hard_045,0.5792,seed_138,0.6446,var_seed_195_2acb4d,,
60,simple_faq_clean,район спальный или центр,0.4911,hard_044,0.5094,seed_138,0.53,var_seed_260_e3ecb5,,
61,simple_faq_clean,навигатор ведет точно,0.5424,hard_166,0.5981,seed_373,0.7114,var_seed_139_6395f9,,
62,simple_faq_clean,синий забор или красный,0.5304,switch_026,0.5187,seed_030,0.5295,var_seed_027_24cb09,,
63,simple_faq_clean,костные импланты ставят,0.6975,switch_007,0.7073,seed_170,0.7965,var_seed_072_0fff0a,,
64,simple_faq_clean,после пломбы что нельзя,0.6979,hard_103,0.7728,seed_200,0.7728,seed_200,,
65,simple_faq_clean,виниры какие материалы,0.5616,hard_010,0.7062,seed_074,0.7686,var_seed_074_0566c3,,
66,simple_faq_clean,рентген цифровой или пленка,0.5075,hard_115,0.6368,seed_154,0.6866,var_seed_154_4deeed,,
67,simple_faq_clean,детская стоматология услуги,0.7179,hard_028,0.7733,seed_169,0.7204,var_seed_124_8287bd,,
68,simple_faq_clean,гарантия на отбеливание,0.7317,switch_043,0.7457,seed_112,0.7457,seed_112,,
69,simple_faq_clean,процедура установки брекетов,0.7034,hard_112,0.7736,seed_178,0.7931,var_seed_178_661242,,
70,simple_faq_clean,сколько держится пломба,0.737,switch_032,0.7192,seed_036,0.7154,var_seed_212_f82279,,
71,simple_faq_clean,терапевт или хирург нужен,0.7218,hard_075,0.717,seed_237,0.799,var_seed_189_edfa8c,,
72,simple_faq_clean,цена на мостовидный протез,0.6107,hard_095,0.8088,seed_122,0.8364,var_seed_122_4298ce,,
73,simple_faq_clean,удаление зуба скока стоит,0.6911,hard_014,0.7136,seed_131,0.755,var_seed_127_10f352,,
74,simple_faq_clean,зубной налет чистка цена,0.7375,hard_156,0.7402,seed_107,0.8255,var_seed_107_c0fd12,,
75,simple_faq_clean,среда вечерний прием,0.7111,switch_041,0.6809,seed_227,0.7657,var_seed_253_af18cc,,
76,simple_faq_clean,зимой график меняется,0.5625,switch_033,0.6293,seed_285,0.6412,var_seed_274_b81005,,
77,simple_faq_clean,открытие в 8 утра,0.6611,switch_036,0.7876,seed_155,0.8098,var_seed_155_b71db6,,
78,simple_faq_clean,троллейбусом номер какой,0.5606,switch_017,0.5628,seed_143,0.6574,var_seed_148_33eb9e,,
79,simple_faq_clean,парковка бесплатная ли,0.7732,switch_024,0.8083,seed_138,0.6529,var_seed_227_a00270,,
80,simple_faq_clean,как найти вход в подвал,0.5319,hard_044,0.5599,seed_148,0.6328,var_seed_148_422836,,
81,simple_faq_clean,от метро 5 минут пешком,0.4814,switch_024,0.5166,seed_331,0.6983,var_seed_148_9b4e18,,
82,simple_faq_clean,Сколько чистка зубов стоит?,0.846,hard_088,0.8285,seed_131,0.9737,var_seed_107_6fa8a1,train>=0.85,
83,simple_faq_clean,График работы в воскресенье?,0.8578,switch_011,0.8935,seed_144,0.8499,seed_137,"hard>=0.85,seed>=0.85",
84,simple_faq_clean,Где ваша клиника находится?,0.6947,switch_017,0.8945,seed_156,0.9447,var_seed_136_481d2a,"seed>=0.85,train>=0.85",
85,simple_faq_clean,Какие цены на отбеливание?,0.9556,switch_043,0.9659,seed_112,0.9659,seed_112,"hard>=0.85,seed>=0.85,train>=0.85",
86,simple_faq_clean,Работаете ли после 20:00?,0.8302,switch_040,0.7585,seed_140,0.7585,seed_140,,
87,simple_faq_clean,Адрес и как доехать?,0.7697,hard_044,0.8346,seed_148,0.8646,var_seed_148_33eb9e,train>=0.85,
88,simple_faq_clean,Сколько пломбирование?,0.7854,switch_032,0.7301,seed_121,0.7173,var_seed_220_2dd9c1,,
89,simple_faq_clean,В субботу открыты?,0.8001,switch_011,0.88,seed_137,0.88,seed_137,"seed>=0.85,train>=0.85",
90,simple_faq_clean,Расположение клиники?,0.7915,switch_017,0.7908,seed_143,0.8581,var_seed_136_27d9ef,train>=0.85,
91,simple_faq_clean,Цена удаления зуба?,0.8764,hard_014,0.9072,seed_131,0.8034,var_seed_107_c0fd12,"hard>=0.85,seed>=0.85",
92,simple_faq_clean,До какого времени в пятницу?,0.6717,switch_011,0.7857,seed_262,0.7857,seed_262,,
93,simple_faq_clean,Какой адрес точно?,0.8159,hard_044,0.8624,seed_139,0.9263,var_seed_139_45b80f,"seed>=0.85,train>=0.85",
94,simple_faq_clean,Сколько имплант?,0.8329,hard_095,0.8509,seed_106,0.8509,seed_106,"seed>=0.85,train>=0.85",
95,simple_faq_clean,Перерыв на обед есть?,0.6282,hard_100,0.8408,seed_282,0.7411,var_seed_248_1a77cd,,
96,simple_faq_clean,Ближайший метро к вам?,0.5869,switch_024,0.6512,seed_148,0.7184,var_seed_148_9b4e18,,
97,simple_faq_clean,Цены на протезы?,0.7272,hard_004,0.8747,seed_122,0.8983,var_seed_122_4298ce,"seed>=0.85,train>=0.85",
98,simple_faq_clean,Рабочие дни недели?,0.7634,switch_011,0.7766,seed_144,0.7611,seed_137,,
99,simple_faq_clean,Где припарковаться можно?,0.8521,switch_024,0.877,seed_138,0.7032,seed_330,"hard>=0.85,seed>=0.85",
100,simple_faq_clean,Скока ультразвук чистка?,0.6909,hard_088,0.6955,seed_197,0.6831,seed_107,,
101,simple_faq_clean,Открытие в понедельник во сколько?,0.6467,switch_044,0.8,seed_155,0.8064,var_seed_155_b71db6,,
102,simple_faq_clean,Точный адрес с индексом?,0.7595,hard_044,0.8037,seed_139,0.843,var_seed_139_45b80f,,
103,simple_faq_clean,Гарантия на пломбы сколько?,0.7676,switch_032,0.7229,seed_212,0.7229,seed_212,,
104,simple_faq_clean,Какие услуги предлагаете?,0.6223,hard_100,0.6986,seed_150,0.7159,var_seed_127_a3e74b,,
105,simple_faq_clean,Подготовка к импланту нужна?,0.7611,hard_111,0.7585,seed_206,0.7099,seed_170,,
106,simple_faq_clean,Сколько стоит коронка?,0.7025,switch_001,0.7108,seed_215,0.8082,var_seed_113_5c109e,,
107,simple_faq_clean,Выходные дни работаете?,0.8844,switch_011,0.882,seed_144,0.8809,seed_137,"hard>=0.85,seed>=0.85,train>=0.85",
108,simple_faq_clean,Маршрут от центра?,0.5965,switch_024,0.6535,seed_162,0.6833,var_seed_148_33eb9e,intra_pool>=0.90,маршрут от центра
109,simple_faq_clean,Цена на виниры?,0.6596,switch_001,0.9367,seed_109,0.76,var_seed_074_0566c3,seed>=0.85,
110,simple_faq_clean,Закрытие в праздники?,0.6569,switch_011,0.6681,seed_137,0.6877,var_seed_140_0432fa,,
111,simple_faq_clean,Ваш телефон для справок?,0.7437,switch_017,0.7527,seed_139,0.7527,seed_139,,
112,simple_faq_clean,Какие акции сейчас?,0.547,switch_030,0.8203,seed_161,0.5676,seed_127,,
113,simple_faq_clean,Прием в обеденное время?,0.6499,switch_036,0.8165,seed_282,0.8274,var_seed_244_4d5e84,,
114,simple_faq_clean,Какой вход в клинику?,0.7318,switch_017,0.7484,seed_154,0.7777,var_seed_148_b6ff19,,
115,simple_faq_clean,Сколько консультация?,0.6581,switch_001,0.8355,seed_116,0.8355,seed_116,,
116,simple_faq_clean,График на декабрь?,0.6086,switch_041,0.6335,seed_127,0.6661,var_seed_137_0c46f9,,
117,simple_faq_clean,Бесплатная парковка есть?,0.8554,switch_024,0.8956,seed_138,0.7213,var_seed_227_a00270,"hard>=0.85,seed>=0.85",
118,simple_faq_clean,Виды отбеливания какие?,0.7381,switch_043,0.7458,seed_198,0.7614,var_seed_071_36eec9,intra_pool>=0.90,виды отбеливания какие
119,simple_faq_clean,Скока рентген?,0.5261,switch_046,0.7077,seed_224,0.8405,var_seed_154_4deeed,,
120,simple_faq_clean,Работаете допоздна?,0.8033,switch_040,0.7928,seed_140,0.7928,seed_140,,
121,simple_faq_clean,Гарантия на протезы?,0.6286,hard_011,0.7424,seed_150,0.7597,var_seed_122_7d06a1,,
122,simple_faq_clean,Цены на детей?,0.6911,hard_035,0.7434,seed_124,0.7434,seed_124,,
123,simple_faq_clean,Понедельник с обеда?,0.6508,switch_044,0.7621,seed_282,0.712,var_seed_259_f5095e,,
124,simple_faq_clean,Рядом с каким магазином?,0.6134,switch_024,0.8112,seed_331,0.8301,var_seed_331_a9bf09,,
125,simple_faq_clean,Какие материалы для пломб?,0.6945,switch_032,1.0,seed_220,1.0,seed_220,"seed>=0.85,train>=0.85",
126,simple_faq_clean,Сколько анестезия?,0.6516,hard_074,0.8683,seed_223,0.7906,var_seed_125_5b7fb7,seed>=0.85,
127,simple_faq_clean,Выходной в четверг?,0.722,switch_011,0.75,seed_137,0.75,seed_137,,
128,simple_faq_clean,Автобусом как до вас?,0.6468,switch_024,0.8021,seed_148,0.8105,var_seed_148_1e4525,,
129,simple_faq_clean,Подготовка к чистке?,0.8014,switch_025,0.7753,seed_231,0.7753,var_seed_231_d19043,,
130,simple_faq_clean,Цена брекетов?,0.8952,hard_004,0.9531,seed_108,0.9531,seed_108,"hard>=0.85,seed>=0.85,train>=0.85",
131,simple_faq_clean,Закрыто 8 марта?,0.5058,switch_011,0.5518,seed_253,0.5758,var_seed_140_0432fa,,
132,simple_faq_clean,Фото клиники можно?,0.7088,switch_017,0.7821,seed_154,0.7821,seed_154,,
133,simple_faq_clean,Какие врачи есть?,0.6179,switch_035,0.7507,seed_187,0.7507,seed_187,,
134,simple_faq_clean,Сколько стоит мост?,0.7356,switch_001,0.7256,seed_119,0.7688,var_seed_119_f15293,,
135,simple_faq_clean,От метро сколько минут?,0.5736,switch_024,0.6064,seed_128,0.7511,var_seed_148_9b4e18,,
136,simple_faq_clean,Гарантия на отбеливание?,0.7666,switch_043,0.7911,seed_112,0.7911,seed_112,intra_pool>=0.90,гарантия на отбеливание
137,simple_faq_clean,Скока съемный протез?,0.5304,hard_030,0.7593,seed_058,0.761,var_seed_058_d63863,,
138,simple_faq_clean,Лето график меняется?,0.5526,switch_033,0.5961,seed_285,0.6234,var_seed_257_b15024,,
139,simple_faq_clean,Табличка на входе есть?,0.6367,switch_024,0.6602,seed_127,0.6602,seed_127,,
140,simple_faq_clean,Виды чистки?,0.7062,hard_088,0.7356,seed_197,0.7242,var_seed_219_7ee73b,,
141,simple_faq_clean,Цены обновили?,0.7291,hard_035,0.7731,seed_127,0.7731,seed_127,,
142,simple_faq_clean,С 12 до 14 прием?,0.5632,hard_003,0.7556,seed_227,0.7556,seed_227,,
143,simple_faq_clean,Яндекс карты ссылка?,0.5345,hard_044,0.5818,seed_411,0.6176,var_seed_411_342d7d,,
144,simple_faq_clean,Сколько сеанс отбеливания?,0.7951,switch_043,0.766,seed_112,0.7919,var_seed_112_17771a,,
145,simple_faq_clean,Пятница вечером открыто?,0.749,switch_040,0.74,seed_137,0.74,seed_137,,
146,simple_faq_clean,Лифт в здании?,0.634,switch_024,0.6534,seed_101,0.6334,var_seed_164_a56a4c,,
147,simple_faq_clean,Какие сертификаты?,0.4911,switch_030,0.6318,seed_145,0.5547,var_seed_151_a88c0d,,
148,simple_faq_clean,Пломба световая скока?,0.5557,hard_021,0.5979,seed_052,0.6805,var_seed_114_9d203a,,
149,simple_faq_clean,Зимой короче часы?,0.5215,hard_116,0.6015,seed_273,0.6043,var_seed_257_b15024,,
150,simple_faq_clean,Парковка под окнами?,0.7664,switch_024,0.8082,seed_138,0.6686,seed_233,,
151,simple_faq_clean,Подготовка к протезу?,0.6395,hard_030,0.705,seed_180,0.7284,var_seed_122_39d927,,
152,simple_faq_clean,Удаление мудрости цена?,0.6303,hard_014,0.8372,seed_111,0.7975,var_seed_199_ae7891,,
153,simple_faq_clean,Суббота полдня?,0.6817,switch_011,0.7218,seed_137,0.7431,var_seed_264_3a5703,,
154,simple_faq_clean,Второй этаж клиника?,0.6247,switch_017,0.673,seed_154,0.6893,var_seed_136_481d2a,,
155,simple_faq_clean,Акции на чистку?,0.7504,switch_012,0.769,seed_107,0.769,seed_107,,
156,simple_faq_clean,Новый год график?,0.4928,switch_036,0.5137,seed_127,0.5956,var_seed_137_0c46f9,,
157,simple_faq_clean,Трамвай до вас ходит?,0.6452,switch_024,0.6863,seed_148,0.6863,seed_148,,
158,simple_faq_clean,Какие аппараты используете?,0.6246,hard_089,0.6601,seed_350,0.6601,seed_350,,
159,simple_booking_clean,запишись меня на завтра утро,0.9418,switch_036,0.8356,seed_260,0.8356,seed_260,hard>=0.85,
160,simple_booking_clean,Можно к стоматологу в субботу?,0.6777,switch_011,0.7559,seed_137,0.7559,seed_137,,
161,simple_booking_clean,хочу запись на среду,0.934,switch_041,0.8912,seed_269,0.8912,seed_269,"hard>=0.85,seed>=0.85,train>=0.85",
162,simple_booking_clean,Запишитесь на прием пожалуйста,0.8271,switch_002,0.8458,seed_235,0.9014,var_seed_230_9d7807,train>=0.85,
163,simple_booking_clean,на 15 число свободно?,0.6124,switch_041,0.728,seed_229,0.7494,var_seed_233_0b1807,,
164,simple_booking_clean,ЗПИСАТЬСЯ К ВРАЧУ,0.6873,switch_002,0.6954,seed_226,0.6993,var_seed_230_9d7807,,
165,simple_booking_clean,для ребенка на вечерок,0.6367,switch_033,0.6385,seed_271,0.6899,var_seed_271_333968,,
166,simple_booking_clean,хочу к терапевту утром,0.77,switch_036,0.7694,seed_241,0.7855,var_seed_244_4d5e84,,
167,simple_booking_clean,запись на следующей неделе,0.7858,switch_021,0.8858,seed_228,0.8888,var_seed_228_a4cc50,"seed>=0.85,train>=0.85",
168,simple_booking_clean,можно на 11 утра?,0.6851,switch_036,0.7738,seed_267,0.7738,seed_267,,
169,simple_booking_clean,Запиши жену на понедельник,0.7989,switch_044,0.789,seed_228,0.8143,var_seed_253_aac4f6,,
170,simple_booking_clean,свободное время есть завтра,0.7533,switch_021,0.9143,seed_229,0.8144,var_seed_232_b2c1ea,seed>=0.85,
171,simple_booking_clean,на прием к стоматологу хочу,0.8439,hard_073,0.8407,seed_238,0.9253,var_seed_232_5dea63,train>=0.85,
172,simple_booking_clean,зпитесь на четверг,0.7522,hard_066,0.8102,seed_256,0.8663,var_seed_256_6284a0,train>=0.85,
173,simple_booking_clean,для мамы на утро,0.7089,switch_036,0.6724,seed_260,0.7215,var_seed_260_b57082,,
174,simple_booking_clean,хочу попасть в пятницу,0.7405,switch_041,0.796,seed_281,0.7892,var_seed_262_d54fc3,,
175,simple_booking_clean,Запись на 20 число,0.6655,switch_002,0.6893,seed_269,0.6893,seed_269,,
176,simple_booking_clean,можно ребенку после обеда,0.6065,switch_033,0.7834,seed_282,0.7391,var_seed_267_26513d,,
177,simple_booking_clean,на выходные есть места,0.6926,switch_024,0.7252,seed_138,0.871,var_seed_227_726f4e,train>=0.85,
178,simple_booking_clean,зписать на вторник,0.7265,switch_041,0.7373,seed_253,0.9162,var_seed_253_aac4f6,train>=0.85,
179,simple_booking_clean,ХОЧУ НА ПРИЕМ СЕГОДНЯ,0.7259,hard_078,0.7906,seed_241,0.7906,seed_241,,
180,simple_booking_clean,для мужа на вечер,0.6494,switch_033,0.6512,seed_271,0.7251,var_seed_271_333968,,
181,simple_booking_clean,свободно ли в 14:00,0.6119,switch_024,0.7161,seed_229,0.775,var_seed_244_98e373,,
182,simple_booking_clean,запишите на удобное,0.8332,switch_002,0.8715,seed_252,0.8314,var_seed_232_96d4cb,seed>=0.85,
183,simple_booking_clean,на пятницу после 16,0.6614,switch_041,0.7279,seed_245,0.7277,var_seed_262_d54fc3,,
184,simple_booking_clean,перенести на понедельник надо,0.8683,switch_044,0.8673,seed_278,0.8673,seed_278,"hard>=0.85,seed>=0.85,train>=0.85",
185,simple_booking_clean,сдвиньте мою запись позже,0.7796,switch_015,0.7997,seed_273,0.8456,var_seed_273_fbcc42,,
186,simple_booking_clean,Изменить время на вечер,0.7831,switch_033,0.8491,seed_285,0.8875,var_seed_274_b81005,train>=0.85,
187,simple_booking_clean,перенос на следующую среду,0.7933,switch_044,0.8841,seed_261,0.8776,seed_268,"seed>=0.85,train>=0.85",
188,simple_booking_clean,Мою запись сдвинуть на 17,0.7242,switch_015,0.7534,seed_258,0.7396,var_seed_264_b53348,,
189,simple_booking_clean,на завтра перенести можно,0.8888,switch_033,0.874,seed_268,0.9488,var_seed_268_1e1f88,"hard>=0.85,seed>=0.85,train>=0.85",
190,simple_booking_clean,измени дату приема,0.7281,switch_044,0.8024,seed_280,0.8418,var_seed_280_56bf2a,,
191,simple_booking_clean,Перенесите на пятницу,0.8321,switch_044,0.9384,seed_256,0.9384,seed_256,"seed>=0.85,train>=0.85",
192,simple_booking_clean,сдвиг на утро вторника,0.6327,switch_044,0.6608,seed_276,0.7853,var_seed_260_ad909b,,
193,simple_booking_clean,мою на вечерок перекиньте,0.8158,switch_033,0.8477,seed_271,0.8477,seed_271,,
194,simple_booking_clean,Изменить на 10 число,0.6289,switch_044,0.6881,seed_285,0.7577,var_seed_264_3ea925,,
195,simple_booking_clean,перенос записи на неделю,0.8493,switch_044,0.8411,seed_278,0.8625,var_seed_256_b1a2cf,train>=0.85,
196,simple_booking_clean,сдвинуть на субботу,0.7472,switch_044,0.8005,seed_256,0.8738,var_seed_262_119cc4,train>=0.85,
197,simple_booking_clean,Можно позже сделать?,0.706,switch_033,0.8066,seed_257,0.8066,seed_257,,
198,simple_booking_clean,переставьте на четверг,0.8132,switch_044,0.9573,seed_256,0.9573,seed_256,"seed>=0.85,train>=0.85",
199,simple_booking_clean,для ребенка время поменяйте,0.641,switch_033,0.8364,seed_285,0.856,var_seed_274_b81005,train>=0.85,
200,simple_booking_clean,на утро перенести запись,0.8369,switch_044,0.8688,seed_260,0.9175,var_seed_260_ff322f,"seed>=0.85,train>=0.85",
201,simple_booking_clean,изменим на понедельник,0.8306,switch_044,0.8003,seed_259,0.8732,var_seed_259_f5095e,train>=0.85,
202,simple_booking_clean,сдвиг по времени,0.6049,switch_033,0.7124,seed_273,0.7934,var_seed_274_2fe4d2,,
203,simple_booking_clean,Перенос на 15:00,0.7171,switch_033,0.7895,seed_268,0.7895,seed_268,,
204,simple_booking_clean,мою запись на завтра,0.8572,switch_021,0.7812,seed_269,0.8442,var_seed_312_03957d,hard>=0.85,
205,simple_booking_clean,отменить прием завтра,0.8158,switch_038,0.9326,seed_303,0.9456,var_seed_288_3f2f08,"seed>=0.85,train>=0.85",
206,simple_booking_clean,снимаю запись на среду,0.8453,switch_041,0.7881,seed_293,0.7861,seed_269,,
207,simple_booking_clean,Не приду в пятницу,0.6551,switch_044,0.8333,seed_287,0.8274,var_seed_303_7f467c,,
208,simple_booking_clean,Отмена на 14:00,0.7797,hard_040,0.7797,seed_291,0.8094,var_seed_303_9e886f,,
209,simple_booking_clean,уберите мою запись,0.8698,hard_094,0.9973,seed_295,0.9973,seed_295,"hard>=0.85,seed>=0.85,train>=0.85",
210,simple_booking_clean,Отменить на понедельник,0.8129,switch_044,0.7977,seed_293,0.824,var_seed_303_9e886f,,
211,simple_booking_clean,снять прием вечером,0.7004,switch_033,0.7161,seed_245,0.7283,var_seed_271_ff795a,,
212,simple_booking_clean,Не нужно на завтра,0.7238,switch_021,0.7677,seed_268,0.7677,seed_268,,
213,simple_booking_clean,отмена записи ребенка,0.7898,hard_040,0.9184,seed_297,0.8886,var_seed_286_ac8bfa,"seed>=0.85,train>=0.85",
214,simple_booking_clean,СНИМАЮ НА СУББОТУ,0.7021,switch_041,0.7085,seed_313,0.7475,var_seed_137_c064b4,,
215,simple_booking_clean,отмените на 20 число,0.7011,hard_040,0.7011,seed_291,0.7181,var_seed_303_9e886f,,
216,simple_booking_clean,моя запись не актуальна,0.7371,hard_094,0.7516,seed_306,0.7487,var_seed_300_01c872,,
217,simple_booking_clean,убрать из графика,0.6756,hard_040,0.8051,seed_301,0.6856,var_seed_291_c3748c,,
218,simple_booking_clean,Отмена на вторник,0.8216,hard_040,0.8216,seed_291,0.8546,var_seed_303_9e886f,train>=0.85,
219,simple_booking_clean,не пойду к врачу завтра,0.7051,switch_038,0.8352,seed_287,0.8496,var_seed_303_7f467c,,
220,simple_booking_clean,снимите на четверг,0.7273,hard_066,0.8177,seed_256,0.8411,var_seed_256_6284a0,,
221,simple_booking_clean,отменяю прием утром,0.8326,switch_038,0.8709,seed_303,0.892,var_seed_303_fa17f8,"seed>=0.85,train>=0.85",
