id,text,route_domain,urgency,subtype,explicit_booking,is_offtopic,specialization_hint,feedback_flag,faq_category,style,source,seed_id,gold_is_complex,gold_complexity_class,annotator,annotation_date
hard_157,"жевательный зуб трещит, можно ли срочно к врачу и цена?",anamnesis,normal,symptom,,,,,,,grok_audited,,,,,
hard_158,"Пломба вчера выпала, запишите меня на прием.",anamnesis,normal,complaint,,,,,,,grok_rewritten,,,,,
hard_159,"Передний зуб шатается, сколько стоит фиксация?",anamnesis,normal,symptom,,,,,,,grok_rewritten,,,,,
hard_161,"Зуб кровит, когда можно прийти и сколько это стоит?",anamnesis,normal,symptom,,,,,,,grok_rewritten,,,,,
hard_162,"Флюс раздуло, сколько стоит прием у стоматолога?",anamnesis,urgent,complaint,,,,,,,grok_rewritten,,,,,
hard_163,"Болит челюсть, запишите меня, пожалуйста.",anamnesis,normal,symptom,,,,,,,grok_rewritten,,,,,
hard_165,"Дупло в зубе, сколько будет стоить пломба и когда можно прийти?",anamnesis,normal,complaint,,,,,,,grok_rewritten,,,,,
hard_166,Флюс растет.,anamnesis,urgent,symptom,,,,,,,grok_rewritten,,,,,
hard_168,Нерв оголился.,anamnesis,urgent,symptom,,,,,,,grok_rewritten,,,,,
hard_170,рот не открыть,anamnesis,urgent,symptom,,,,,,,grok_audited,,,,,
hard_171,Зуб шатается.,anamnesis,urgent,symptom,,,,,,,grok_rewritten,,,,,
hard_173,Зуб сломался.,anamnesis,urgent,complaint,,,,,,,grok_rewritten,,,,,
hard_175,сын 4 года упал с качелей зуб шатается сильно,anamnesis,urgent,symptom,,,,,,,grok_audited,,,,,
hard_180,девочка 7 лет ударилась челюстью десна разорвана срочно,anamnesis,urgent,complaint,,,,,,,grok_audited,,,,,
hard_184,"Мальчику 3 года ударили игрушкой по зубам, зуб шатается, плачет.",anamnesis,urgent,complaint,,,,,,,grok_rewritten,,,,,
hard_190,"Помогите, аллергия на анестезию, сыпь по лицу.",anamnesis,urgent,symptom,,,,,,,grok_rewritten,,,,,
hard_198,Сильный отек на пол-лица.,anamnesis,urgent,symptom,,,,,,,grok_rewritten,,,,,
hard_201,У ребенка после укола в десну вырос отек.,anamnesis,urgent,symptom,,,,,,,grok_rewritten,,,,,
