candidate_id,scenario,text,route_domain,subtype,urgency,ml_predicted_label,ml_predicted_conf,ml_gold_conf,audit_decision,audit_reason
p5_053,simple_faq_clean,сколько держится пломба,faq,general,normal,faq,0.708,0.708,accept,ml_agrees
p5_054,simple_faq_clean,терапевт или хирург нужен,faq,general,normal,faq,0.6862,0.6862,accept,ml_agrees
p5_055,simple_faq_clean,цена на мостовидный протез,faq,price,normal,faq,0.7284,0.7284,accept,ml_agrees
p5_056,simple_faq_clean,удаление зуба скока стоит,faq,price,normal,faq,0.9484,0.9484,accept,ml_agrees
p5_057,simple_faq_clean,зубной налет чистка цена,faq,price,normal,faq,0.6217,0.6217,accept,ml_agrees
p5_058,simple_faq_clean,среда вечерний прием,faq,schedule,normal,booking,0.5949,0.1428,accept,ml_weak_can_learn
p5_059,simple_faq_clean,зимой график меняется,faq,schedule,normal,booking,0.3792,0.2709,accept,ml_weak_can_learn
p5_060,simple_faq_clean,открытие в 8 утра,faq,schedule,normal,anamnesis,0.3104,0.2901,accept,ml_weak_can_learn
p5_061,simple_faq_clean,троллейбусом номер какой,faq,location,normal,faq,0.6256,0.6256,accept,ml_agrees
p5_062,simple_faq_clean,парковка бесплатная ли,faq,location,normal,faq,0.5797,0.5797,accept,ml_agrees
p5_063,simple_faq_clean,как найти вход в подвал,faq,location,normal,faq,0.6432,0.6432,accept,ml_agrees
p5_064,simple_faq_clean,от метро 5 минут пешком,faq,location,normal,unsupported,0.4583,0.2449,accept,ml_weak_can_learn
p5_065,simple_faq_clean,Работаете ли после 20:00?,faq,schedule,normal,faq,0.733,0.733,accept,ml_agrees
p5_066,simple_faq_clean,Сколько пломбирование?,faq,price,normal,faq,0.8748,0.8748,accept,ml_agrees
p5_067,simple_faq_clean,До какого времени в пятницу?,faq,schedule,normal,faq,0.5181,0.5181,accept,ml_agrees
p5_068,simple_faq_clean,Перерыв на обед есть?,faq,schedule,normal,booking,0.3516,0.325,accept,ml_weak_can_learn
p5_069,simple_faq_clean,Ближайший метро к вам?,faq,location,normal,faq,0.5289,0.5289,accept,ml_agrees
p5_070,simple_faq_clean,Рабочие дни недели?,faq,schedule,normal,faq,0.5281,0.5281,accept,ml_agrees
p5_071,simple_faq_clean,Скока ультразвук чистка?,faq,price,normal,faq,0.8473,0.8473,accept,ml_agrees
p5_072,simple_faq_clean,Открытие в понедельник во сколько?,faq,schedule,normal,faq,0.7574,0.7574,accept,ml_agrees
p5_073,simple_faq_clean,Точный адрес с индексом?,faq,location,normal,faq,0.6812,0.6812,accept,ml_agrees
p5_074,simple_faq_clean,Гарантия на пломбы сколько?,faq,general,normal,faq,0.8753,0.8753,accept,ml_agrees
p5_075,simple_faq_clean,Какие услуги предлагаете?,faq,general,normal,faq,0.6122,0.6122,accept,ml_agrees
p5_076,simple_faq_clean,Подготовка к импланту нужна?,faq,general,normal,faq,0.6663,0.6663,accept,ml_agrees
p5_077,simple_faq_clean,Сколько стоит коронка?,faq,price,normal,faq,0.9347,0.9347,accept,ml_agrees
p5_078,simple_faq_clean,Закрытие в праздники?,faq,schedule,normal,faq,0.6682,0.6682,accept,ml_agrees
p5_079,simple_faq_clean,Ваш телефон для справок?,faq,general,normal,faq,0.5637,0.5637,accept,ml_agrees
p5_080,simple_faq_clean,Какие акции сейчас?,faq,price,normal,faq,0.6622,0.6622,accept,ml_agrees
p5_081,simple_faq_clean,Прием в обеденное время?,faq,schedule,normal,booking,0.4616,0.3257,accept,ml_weak_can_learn
p5_082,simple_faq_clean,Какой вход в клинику?,faq,location,normal,faq,0.8374,0.8374,accept,ml_agrees
p5_083,simple_faq_clean,Сколько консультация?,faq,price,normal,faq,0.7715,0.7715,accept,ml_agrees
p5_084,simple_faq_clean,График на декабрь?,faq,schedule,normal,faq,0.3822,0.3822,accept,ml_agrees
p5_085,simple_faq_clean,Скока рентген?,faq,price,normal,faq,0.9522,0.9522,accept,ml_agrees
p5_086,simple_faq_clean,Работаете допоздна?,faq,schedule,normal,faq,0.4115,0.4115,accept,ml_agrees
p5_087,simple_faq_clean,Гарантия на протезы?,faq,general,normal,faq,0.6941,0.6941,accept,ml_agrees
p5_088,simple_faq_clean,Цены на детей?,faq,price,normal,faq,0.8664,0.8664,accept,ml_agrees
p5_089,simple_faq_clean,Понедельник с обеда?,faq,schedule,normal,booking,0.5947,0.1384,accept,ml_weak_can_learn
p5_090,simple_faq_clean,Рядом с каким магазином?,faq,location,normal,unsupported,0.6847,0.2456,accept,ml_weak_can_learn
p5_091,simple_faq_clean,Выходной в четверг?,faq,schedule,normal,faq,0.4487,0.4487,accept,ml_agrees
p5_092,simple_faq_clean,Автобусом как до вас?,faq,location,normal,faq,0.6005,0.6005,accept,ml_agrees
p5_093,simple_faq_clean,Подготовка к чистке?,faq,general,normal,faq,0.5026,0.5026,accept,ml_agrees
p5_094,simple_faq_clean,Закрыто 8 марта?,faq,schedule,normal,faq,0.6292,0.6292,accept,ml_agrees
p5_095,simple_faq_clean,Фото клиники можно?,faq,location,normal,faq,0.6342,0.6342,accept,ml_agrees
p5_096,simple_faq_clean,Какие врачи есть?,faq,general,normal,faq,0.8291,0.8291,accept,ml_agrees
p5_097,simple_faq_clean,Сколько стоит мост?,faq,price,normal,faq,0.9631,0.9631,accept,ml_agrees
p5_098,simple_faq_clean,От метро сколько минут?,faq,location,normal,faq,0.6567,0.6567,accept,ml_agrees
p5_099,simple_faq_clean,Скока съемный протез?,faq,price,normal,faq,0.8448,0.8448,accept,ml_agrees
p5_100,simple_faq_clean,Лето график меняется?,faq,schedule,normal,faq,0.4837,0.4837,accept,ml_agrees
p5_101,simple_faq_clean,Табличка на входе есть?,faq,location,normal,faq,0.5099,0.5099,accept,ml_agrees
p5_102,simple_faq_clean,Виды чистки?,faq,general,normal,faq,0.6936,0.6936,accept,ml_agrees
p5_103,simple_faq_clean,Цены обновили?,faq,price,normal,faq,0.752,0.752,accept,ml_agrees
p5_104,simple_faq_clean,С 12 до 14 прием?,faq,schedule,normal,faq,0.4891,0.4891,accept,ml_agrees
p5_105,simple_faq_clean,Яндекс карты ссылка?,faq,location,normal,faq,0.4761,0.4761,accept,ml_agrees
p5_106,simple_faq_clean,Сколько сеанс отбеливания?,faq,price,normal,faq,0.9098,0.9098,accept,ml_agrees
p5_107,simple_faq_clean,Пятница вечером открыто?,faq,schedule,normal,faq,0.4129,0.4129,accept,ml_agrees
p5_108,simple_faq_clean,Лифт в здании?,faq,location,normal,faq,0.5006,0.5006,accept,ml_agrees
p5_109,simple_faq_clean,Какие сертификаты?,faq,general,normal,faq,0.5943,0.5943,accept,ml_agrees
p5_110,simple_faq_clean,Пломба световая скока?,faq,price,normal,faq,0.7634,0.7634,accept,ml_agrees
p5_111,simple_faq_clean,Зимой короче часы?,faq,schedule,normal,faq,0.3173,0.3173,accept,ml_agrees
p5_112,simple_faq_clean,Парковка под окнами?,faq,location,normal,faq,0.4796,0.4796,accept,ml_agrees
p5_113,simple_faq_clean,Подготовка к протезу?,faq,general,normal,faq,0.5196,0.5196,accept,ml_agrees
p5_114,simple_faq_clean,Удаление мудрости цена?,faq,price,normal,faq,0.9248,0.9248,accept,ml_agrees
p5_115,simple_faq_clean,Суббота полдня?,faq,schedule,normal,unsupported,0.3263,0.2998,accept,ml_weak_can_learn
p5_116,simple_faq_clean,Второй этаж клиника?,faq,location,normal,faq,0.5633,0.5633,accept,ml_agrees
p5_117,simple_faq_clean,Акции на чистку?,faq,price,normal,faq,0.5185,0.5185,accept,ml_agrees
p5_118,simple_faq_clean,Новый год график?,faq,schedule,normal,faq,0.5347,0.5347,accept,ml_agrees
p5_119,simple_faq_clean,Трамвай до вас ходит?,faq,location,normal,faq,0.6399,0.6399,accept,ml_agrees
p5_120,simple_faq_clean,Какие аппараты используете?,faq,general,normal,faq,0.6084,0.6084,accept,ml_agrees
p5_121,simple_booking_clean,Можно к стоматологу в субботу?,booking,new_appointment,normal,faq,0.6227,0.3303,accept,ml_weak_can_learn
p5_122,simple_booking_clean,на 15 число свободно?,booking,new_appointment,normal,booking,0.6947,0.6947,accept,ml_agrees
p5_123,simple_booking_clean,ЗПИСАТЬСЯ К ВРАЧУ,booking,new_appointment,normal,booking,0.7714,0.7714,accept,ml_agrees
p5_124,simple_booking_clean,для ребенка на вечерок,booking,new_appointment,normal,booking,0.3563,0.3563,accept,ml_agrees
p5_125,simple_booking_clean,хочу к терапевту утром,booking,new_appointment,normal,booking,0.6637,0.6637,accept,ml_agrees
p5_126,simple_booking_clean,можно на 11 утра?,booking,new_appointment,normal,booking,0.7602,0.7602,accept,ml_agrees
p5_127,simple_booking_clean,Запиши жену на понедельник,booking,new_appointment,normal,booking,0.9166,0.9166,accept,ml_agrees
p5_128,simple_booking_clean,для мамы на утро,booking,new_appointment,normal,unsupported,0.3549,0.2872,accept,ml_weak_can_learn
p5_129,simple_booking_clean,хочу попасть в пятницу,booking,new_appointment,normal,booking,0.765,0.765,accept,ml_agrees
p5_130,simple_booking_clean,Запись на 20 число,booking,new_appointment,normal,booking,0.8643,0.8643,accept,ml_agrees
p5_131,simple_booking_clean,можно ребенку после обеда,booking,new_appointment,normal,booking,0.432,0.432,accept,ml_agrees
p5_132,simple_booking_clean,ХОЧУ НА ПРИЕМ СЕГОДНЯ,booking,new_appointment,normal,booking,0.7432,0.7432,accept,ml_agrees
p5_133,simple_booking_clean,для мужа на вечер,booking,new_appointment,normal,booking,0.391,0.391,accept,ml_agrees
p5_134,simple_booking_clean,свободно ли в 14:00,booking,new_appointment,normal,booking,0.6267,0.6267,accept,ml_agrees
p5_135,simple_booking_clean,на пятницу после 16,booking,new_appointment,normal,booking,0.6264,0.6264,accept,ml_agrees
p5_136,simple_booking_clean,сдвиньте мою запись позже,booking,reschedule,normal,booking,0.965,0.965,accept,ml_agrees
p5_137,simple_booking_clean,Мою запись сдвинуть на 17,booking,reschedule,normal,booking,0.914,0.914,accept,ml_agrees
p5_138,simple_booking_clean,измени дату приема,booking,reschedule,normal,booking,0.6576,0.6576,accept,ml_agrees
p5_139,simple_booking_clean,сдвиг на утро вторника,booking,reschedule,normal,booking,0.8367,0.8367,accept,ml_agrees
p5_140,simple_booking_clean,мою на вечерок перекиньте,booking,reschedule,normal,booking,0.7877,0.7877,accept,ml_agrees
p5_141,simple_booking_clean,Изменить на 10 число,booking,reschedule,normal,booking,0.74,0.74,accept,ml_agrees
p5_142,simple_booking_clean,Можно позже сделать?,booking,reschedule,normal,booking,0.7129,0.7129,accept,ml_agrees
p5_143,simple_booking_clean,сдвиг по времени,booking,reschedule,normal,booking,0.6878,0.6878,accept,ml_agrees
p5_144,simple_booking_clean,Перенос на 15:00,booking,reschedule,normal,booking,0.8816,0.8816,accept,ml_agrees
p5_145,simple_booking_clean,снимаю запись на среду,booking,cancel,normal,booking,0.8983,0.8983,accept,ml_agrees
p5_146,simple_booking_clean,Не приду в пятницу,booking,cancel,normal,booking,0.8341,0.8341,accept,ml_agrees
p5_147,simple_booking_clean,Отмена на 14:00,booking,cancel,normal,booking,0.8973,0.8973,accept,ml_agrees
p5_148,simple_booking_clean,Отменить на понедельник,booking,cancel,normal,booking,0.9457,0.9457,accept,ml_agrees
p5_149,simple_booking_clean,снять прием вечером,booking,cancel,normal,booking,0.5928,0.5928,accept,ml_agrees
p5_150,simple_booking_clean,Не нужно на завтра,booking,cancel,normal,booking,0.9045,0.9045,accept,ml_agrees
p5_151,simple_booking_clean,СНИМАЮ НА СУББОТУ,booking,cancel,normal,booking,0.5877,0.5877,accept,ml_agrees
p5_152,simple_booking_clean,отмените на 20 число,booking,cancel,normal,booking,0.9083,0.9083,accept,ml_agrees
p5_153,simple_booking_clean,моя запись не актуальна,booking,cancel,normal,booking,0.8189,0.8189,accept,ml_agrees
p5_154,simple_booking_clean,убрать из графика,booking,cancel,normal,booking,0.3726,0.3726,accept,ml_agrees
p5_155,simple_booking_clean,не пойду к врачу завтра,booking,cancel,normal,booking,0.7839,0.7839,accept,ml_agrees
p5_156,simple_booking_clean,снимите на четверг,booking,cancel,normal,booking,0.7491,0.7491,accept,ml_agrees
p5_157,simple_booking_clean,запись на пятницу убрать,booking,cancel,normal,booking,0.8891,0.8891,accept,ml_agrees
p5_158,simple_booking_clean,НЕТ ВРЕМЕНИ НА СРЕДУ,booking,cancel,normal,booking,0.6043,0.6043,accept,ml_agrees
p5_159,simple_booking_clean,отмена для жены,booking,cancel,normal,booking,0.6725,0.6725,accept,ml_agrees
p5_160,simple_booking_clean,снять на вечер,booking,cancel,normal,booking,0.6439,0.6439,accept,ml_agrees
p5_161,simple_booking_clean,запишись меня на вечер пятницы,booking,new_appointment,normal,booking,0.9529,0.9529,accept,ml_agrees
p5_162,simple_booking_clean,Хочу к врачу на следующей неделе,booking,new_appointment,normal,booking,0.8242,0.8242,accept,ml_agrees
p5_163,simple_booking_clean,зпитесь ребенка утром,booking,new_appointment,normal,booking,0.5321,0.5321,accept,ml_agrees
p5_164,simple_booking_clean,на прием свободно ли,booking,new_appointment,normal,booking,0.5568,0.5568,accept,ml_agrees
p5_165,simple_booking_clean,сдвинуть запись жены,booking,reschedule,normal,booking,0.881,0.881,accept,ml_agrees
p5_166,simple_booking_clean,снимаю на 16 часов,booking,cancel,normal,booking,0.5581,0.5581,accept,ml_agrees
p5_167,simple_booking_clean,можно на среду к стоматологу,booking,new_appointment,normal,booking,0.6489,0.6489,accept,ml_agrees
p5_168,simple_booking_clean,запись на прием завтра,booking,new_appointment,normal,booking,0.9634,0.9634,accept,ml_agrees
p5_169,simple_booking_clean,подскажите когда можно записаться,booking,new_appointment,normal,booking,0.9101,0.9101,accept,ml_agrees
p5_170,simple_booking_clean,нужно место на пятницу,booking,new_appointment,normal,booking,0.8972,0.8972,accept,ml_agrees
p5_171,simple_booking_clean,запишите ребенка на вечер,booking,new_appointment,normal,booking,0.9295,0.9295,accept,ml_agrees
p5_172,simple_booking_clean,хочу к стоматологу на следующей неделе,booking,new_appointment,normal,booking,0.8442,0.8442,accept,ml_agrees
p5_173,simple_booking_clean,запись на удаление камня,booking,new_appointment,normal,booking,0.7749,0.7749,accept,ml_agrees
p5_174,simple_booking_clean,мне нужно записаться срочно но не сейчас,booking,new_appointment,normal,booking,0.941,0.941,accept,ml_agrees
p5_175,simple_booking_clean,хочу прием в субботу,booking,new_appointment,normal,booking,0.6988,0.6988,accept,ml_agrees
p5_176,simple_booking_clean,для мамы запись сделайте,booking,new_appointment,normal,booking,0.832,0.832,accept,ml_agrees
p5_177,simple_booking_clean,Перенесите на 16 число,booking,reschedule,normal,booking,0.915,0.915,accept,ml_agrees
p5_178,simple_booking_clean,неудобно в это время поменяйте,booking,reschedule,normal,booking,0.7928,0.7928,accept,ml_agrees
p5_179,simple_booking_clean,меня на 14:00 переставьте,booking,reschedule,normal,booking,0.8332,0.8332,accept,ml_agrees
p5_180,simple_booking_clean,снимите меня с 10 утра,booking,cancel,normal,booking,0.8367,0.8367,accept,ml_agrees
p5_181,simple_booking_clean,отменяю визит в пятницу,booking,cancel,normal,booking,0.8684,0.8684,accept,ml_agrees
p5_182,simple_booking_clean,не нужно больше запись удалите,booking,cancel,normal,booking,0.8231,0.8231,accept,ml_agrees
p5_183,simple_booking_clean,Отменить на 15 число,booking,cancel,normal,booking,0.9068,0.9068,accept,ml_agrees
p5_184,simple_booking_clean,вычеркните меня из графика,booking,cancel,normal,booking,0.4815,0.4815,accept,ml_agrees
p5_185,simple_booking_clean,стоматологу на завтра место,booking,new_appointment,normal,booking,0.8397,0.8397,accept,ml_agrees
p5_186,simple_booking_clean,ребенку прием запишите,booking,new_appointment,normal,booking,0.8485,0.8485,accept,ml_agrees
p5_187,simple_booking_clean,на выходные можно?,booking,new_appointment,normal,booking,0.4169,0.4169,accept,ml_agrees
p5_188,simple_booking_clean,отложу прием на неделю,booking,reschedule,normal,booking,0.7448,0.7448,accept,ml_agrees
p5_189,simple_booking_clean,мне на 12 перенести,booking,reschedule,normal,booking,0.9363,0.9363,accept,ml_agrees
p5_190,simple_booking_clean,снимите запись ребенка,booking,cancel,normal,booking,0.8061,0.8061,accept,ml_agrees
p5_191,simple_booking_clean,не приду в субботу отмените,booking,cancel,normal,booking,0.9508,0.9508,accept,ml_agrees
p5_192,simple_booking_clean,удалить мою очередь,booking,cancel,normal,booking,0.4832,0.4832,accept,ml_agrees
p5_193,simple_booking_clean,к стоматологу утром,booking,new_appointment,normal,booking,0.656,0.656,accept,ml_agrees
p5_194,simple_booking_clean,место на осмотр есть,booking,new_appointment,normal,booking,0.7229,0.7229,accept,ml_agrees
p5_195,simple_booking_clean,для жены запишете,booking,new_appointment,normal,booking,0.6324,0.6324,accept,ml_agrees
p5_196,simple_booking_clean,вычеркнуть из списка,booking,cancel,normal,booking,0.4939,0.4939,accept,ml_agrees
p5_197,simple_booking_clean,не нужен прием снимите,booking,cancel,normal,booking,0.708,0.708,accept,ml_agrees
p5_198,simple_booking_clean,запись к доктору,booking,new_appointment,normal,booking,0.7282,0.7282,accept,ml_agrees
p5_199,simple_booking_clean,утренний слот свободен,booking,new_appointment,normal,booking,0.7873,0.7873,accept,ml_agrees
p5_200,simple_booking_clean,папе нужно записаться,booking,new_appointment,normal,booking,0.9322,0.9322,accept,ml_agrees
p5_201,simple_booking_clean,перенос на 17е,booking,reschedule,normal,booking,0.8824,0.8824,accept,ml_agrees
p5_202,simple_booking_clean,уберите меня на завтра,booking,cancel,normal,booking,0.8632,0.8632,accept,ml_agrees
p5_203,simple_booking_clean,отменяю на вечер,booking,cancel,normal,booking,0.885,0.885,accept,ml_agrees
p5_204,simple_booking_clean,зписать на пятницу,booking,new_appointment,normal,booking,0.8913,0.8913,accept,ml_agrees
p5_205,simple_booking_clean,стоматология запись,booking,new_appointment,normal,booking,0.6721,0.6721,accept,ml_agrees
p5_206,simple_booking_clean,на лечение запишитесь,booking,new_appointment,normal,booking,0.9186,0.9186,accept,ml_agrees
p5_207,simple_booking_clean,не иду отмените очередь,booking,cancel,normal,booking,0.8996,0.8996,accept,ml_agrees
p5_208,simple_booking_clean,снимите с графика,booking,cancel,normal,faq,0.4778,0.2459,accept,ml_weak_can_learn
p5_209,simple_symptom_clean,десна ноет уже третий день,anamnesis,symptom,normal,anamnesis,0.8943,0.8943,accept,ml_agrees
p5_210,simple_symptom_clean,Зуб реагирует на горячую еду,anamnesis,symptom,normal,anamnesis,0.6921,0.6921,accept,ml_agrees
p5_211,simple_symptom_clean,Щека припухла после вчерашнего,anamnesis,symptom,normal,anamnesis,0.8009,0.8009,accept,ml_agrees
p5_212,simple_symptom_clean,Болит когда жую хлеб,anamnesis,complaint,normal,anamnesis,0.6609,0.6609,accept,ml_agrees
p5_213,simple_symptom_clean,эмаль стирается на передних,anamnesis,symptom,normal,anamnesis,0.7358,0.7358,accept,ml_agrees
p5_214,simple_symptom_clean,десны красные и чешутся,anamnesis,symptom,normal,anamnesis,0.8958,0.8958,accept,ml_agrees
p5_215,simple_symptom_clean,После яблока зуб заныл,anamnesis,symptom,normal,anamnesis,0.8355,0.8355,accept,ml_agrees
p5_216,simple_symptom_clean,язык прикусываю больно,anamnesis,complaint,normal,anamnesis,0.7126,0.7126,accept,ml_agrees
p5_217,simple_symptom_clean,десна отекла слегка,anamnesis,symptom,normal,anamnesis,0.8573,0.8573,accept,ml_agrees
p5_218,simple_symptom_clean,Зубы чувствительны к сладкому,anamnesis,symptom,normal,anamnesis,0.7623,0.7623,accept,ml_agrees
p5_219,simple_symptom_clean,корень зуба ломит,anamnesis,symptom,normal,anamnesis,0.8569,0.8569,accept,ml_agrees
p5_220,simple_symptom_clean,щека тянет когда открываю рот,anamnesis,complaint,normal,anamnesis,0.7878,0.7878,accept,ml_agrees
p5_221,simple_symptom_clean,кровь из десны утром,anamnesis,symptom,urgent,anamnesis,0.8939,0.8939,accept,ml_agrees
p5_222,simple_symptom_clean,температура щека горячая,anamnesis,complaint,urgent,anamnesis,0.5151,0.5151,accept,ml_agrees
p5_223,simple_symptom_clean,ноет жевательный зуб,anamnesis,symptom,normal,anamnesis,0.9523,0.9523,accept,ml_agrees
p5_224,simple_symptom_clean,боль пульсирует в зубе,anamnesis,complaint,normal,anamnesis,0.8262,0.8262,accept,ml_agrees
p5_225,simple_symptom_clean,реагирует на холодный воздух,anamnesis,symptom,normal,anamnesis,0.6702,0.6702,accept,ml_agrees
p5_226,simple_symptom_clean,десна болит при нажатии,anamnesis,symptom,normal,anamnesis,0.836,0.836,accept,ml_agrees
p5_227,simple_symptom_clean,устал от зубной боли,anamnesis,complaint,normal,anamnesis,0.5386,0.5386,accept,ml_agrees
p5_228,simple_symptom_clean,флюс надувается,anamnesis,symptom,urgent,anamnesis,0.7757,0.7757,accept,ml_agrees
p5_229,simple_symptom_clean,чувствую дискомфорт в деснах,anamnesis,symptom,normal,anamnesis,0.774,0.774,accept,ml_agrees
p5_230,simple_symptom_clean,больно глотать слюну,anamnesis,complaint,normal,anamnesis,0.6362,0.6362,accept,ml_agrees
p5_231,simple_symptom_clean,кровоточит десна еле чищу,anamnesis,symptom,urgent,anamnesis,0.7912,0.7912,accept,ml_agrees
p5_232,simple_symptom_clean,нижняя челюсть ноет,anamnesis,symptom,normal,anamnesis,0.9647,0.9647,accept,ml_agrees
p5_233,simple_symptom_clean,зубы болят от кислого,anamnesis,symptom,normal,anamnesis,0.792,0.792,accept,ml_agrees
p5_234,simple_symptom_clean,отек под языком,anamnesis,complaint,normal,anamnesis,0.62,0.62,accept,ml_agrees
p5_235,simple_symptom_clean,температура поднялась от зуба,anamnesis,symptom,urgent,anamnesis,0.7749,0.7749,accept,ml_agrees
p5_236,simple_symptom_clean,дырка черная в боку,anamnesis,symptom,normal,anamnesis,0.786,0.786,accept,ml_agrees
p5_237,simple_symptom_clean,десны отступают от зубов,anamnesis,symptom,normal,anamnesis,0.9192,0.9192,accept,ml_agrees
