id,text,route_domain,subtype,explicit_booking,urgency,is_offtopic,specialization_hint,feedback_flag,faq_category,style,source,seed_id
hard_187,"После укола опухли губы, не проходит.",anamnesis,symptom,,urgent,,,,,,grok_rewritten,
hard_188,После вчерашнего лечения сильно кровит десна.,anamnesis,symptom,,urgent,,,,,,grok_rewritten,
hard_189,отек на щеке огромный после лечения,anamnesis,symptom,,urgent,,,,,,grok_audited,
hard_190,"Помогите, аллергия на анестезию, сыпь по лицу.",anamnesis,symptom,,urgent,,,,,,grok_rewritten,
hard_191,Кровь из лунки хлещет третий час,anamnesis,symptom,,urgent,,,,,,grok_audited,
hard_192,губа распухла как колбаса от укола,anamnesis,symptom,,urgent,,,,,,grok_audited,
hard_193,"Аллергия на обезболивающее, зудит во рту.",anamnesis,symptom,,urgent,,,,,,grok_rewritten,
hard_194,десна кровит не перестает после чистки,anamnesis,symptom,,urgent,,,,,,grok_audited,
hard_195,Щека опухла до глаза срочно,anamnesis,symptom,,urgent,,,,,,grok_audited,
hard_196,"После анестезии аллергия, лицо покраснело.",anamnesis,symptom,,urgent,,,,,,grok_rewritten,
hard_197,Кровотечение после удаления не останавливается.,anamnesis,symptom,,urgent,,,,,,grok_rewritten,
hard_198,Сильный отек на пол-лица.,anamnesis,symptom,,urgent,,,,,,grok_rewritten,
hard_199,"Аллергия на препарат, во рту ужасно чешется.",anamnesis,symptom,,urgent,,,,,,grok_rewritten,
hard_200,Кровь из десны течет уже несколько часов.,anamnesis,symptom,,urgent,,,,,,grok_rewritten,
hard_201,У ребенка после укола в десну вырос отек.,anamnesis,symptom,,urgent,,,,,,grok_rewritten,
